chu_lemma|orv_lemma|pos|lcs_lemma|conj_type
сильнъ|сильныи|A-|silьnъ|adj_hard
доуховьнъ|духовьныи|A-|duxovьnъ|adj_hard
имати|имати|V-|jьmati|52_abl
доити#2|доити|V-|dojьti|jьti
близъ|близъ|R-|blizъ|
чистъ|чистыи|A-|čistъ|adj_hard
свѣтьлъ|свѣтьлыи|A-|světьlъ|adj_hard
въпасти|въпасти|V-|vъpasti|11
разорити|разорити|V-|orzoriti|40
трапеза|трапеза|Nb|trapeza|fem_a
велѣти|велѣти|V-|velěti|31
бесѣдовати|бесѣдовати|V-|besědovati|61
еи|еи|I-|????|
отъкѫдоу|отъкуду|Du|otъkǫdu|
трьпѣти|тьрпѣти|V-|tŕ̥pěti|31
постꙑдѣти|постыдѣти|V-|postyděti|31
надѣꙗти|надѣяти|V-|nadějǢti|53
бѣда|бѣда|Nb|běda|fem_a
иродъ|иродъ|Ne|irodъ|masc_o_u
колико|колико|Du|koliko|
страньнъ|стороньныи|A-|stornьnъ|adj_hard
веселити|веселити|V-|veseliti|40
отъпоущати|отъпущати|V-|otъpušћǢti|54
пътица|пътица|Nb|pъtika|fem_a_PV3
иона|иона|Ne|ijona|masc_a
чрѣво|черево|Nb|červo|nt_o
льсть|льсть|Nb|lьstь|fem_i
крьщениѥ|крьщение|Nb|krьšћenьje|nt_jo
събирати|събирати|V-|sъbirati|54
прѣдаꙗти|передаяти|V-|perdajǢti|53
авраамъ|авраамъ|Ne|avraamъ|masc_o
вѣ|азъ|Pp|azъ|azъ
дѣти|дѣти|Nb|dětь|fem_i
праздьникъ|праздьникъ|Nb|porzdьnikъ|masc_o
нечьстивъ|нечьстивыи|A-|nečьstivъ|adj_hard
храмъ|хоромъ|Nb|xormъ|masc_o
слоужьба|служьба|Nb|služьba|fem_a
вельми|вельми|Df|velьmi|
въсхотѣти|въсхотѣти|V-|vъsxotěti|will
пища|пища|Nb|piћǢ|fem_ja
таина|таина|Nb|tajьna|fem_a
рꙑба|рыба|Nb|ryba|fem_a
родитель|родитель|Nb|roditeĺь|masc_tel
чаꙗти|чаяти|V-|čǢjǢti|53
брашьно|брашьно|Nb|boršьno|nt_o
пострадати|пострадати|V-|postradati|52
разгнѣвати|розгнѣвати|V-|orzgněvati|54
завѣтъ|завѣтъ|Nb|zavětъ|masc_o
сънъ|сънъ|Nb|sъnъ|masc_o
кꙑи|кыи|Px|kъjь|kъjь
славьнъ|славьныи|A-|slavьnъ|adj_hard
съподобити|съподобити|V-|sъpodobiti|40
евангелиѥ|евангелие|Nb|evanǵelьje|nt_jo
прѣстолъ|прѣстолъ|Nb|perstolъ|masc_o
николиже|николиже|Df|nikoliže|
страдати|страдати|V-|stradati|52
недѫгъ|недугъ|Nb|nedǫgъ|masc_o
одръ|одръ|Nb|odrъ|masc_o
чаша|чаша|Nb|čǢšǢ|fem_ja
зьрѣти|зьрѣти|V-|zьrěti|31
