id,lemma,pos,normalised,count,chrabr,euch,kiev-mis,marianus,psal-sin_pipe_removed,supr_fixed,vit-const,vit-meth,zogr,bitflag
4252,роса,Nb,роса,3,,,,,psal-sin_pipe_removed,supr_fixed,,,,48
4253,еръмоунь,A-,еръмоунь,1,,,,,psal-sin_pipe_removed,,,,,16
4254,съто,R-,съто,1,,,,,psal-sin_pipe_removed,,,,,16
4255,фараосъ,Ne,фараосъ,1,,,,,psal-sin_pipe_removed,,,,,16
4256,аморѣискъ,A-,аморѣіскъ,2,,,,,psal-sin_pipe_removed,,,,,16
4257,издрѧсти,V-,іздрѧсті,1,,,,,psal-sin_pipe_removed,,,,,16
4258,фараосъ,Nb,фараосъ,2,,,,,psal-sin_pipe_removed,supr_fixed,,,,48
4259,оумрьщвити,V-,оумрьштвіті,1,,,,,psal-sin_pipe_removed,,,,,16
4260,огъ,Ne,огъ,1,,,,,psal-sin_pipe_removed,,,,,16
4261,васаньскъ,A-,васаньскъ,1,,,,,psal-sin_pipe_removed,,,,,16
4262,вавѵлоньскъ,A-,вавулоньскъ,4,,,,,psal-sin_pipe_removed,supr_fixed,,,,48
4263,врьбиѥ,Nb,врьбіе,2,,,,,psal-sin_pipe_removed,supr_fixed,,,,48
4264,оръганъ,Nb,оръганъ,3,,,,,psal-sin_pipe_removed,,,,,16
4265,мꙑ,Ps,мъі,2,,,,,psal-sin_pipe_removed,,,,,16
4266,прильпати,V-,прільпаті,1,,,,,psal-sin_pipe_removed,,,,,16
4267,едемьскъ,A-,едемьскъ,1,,,,,psal-sin_pipe_removed,,,,,16
4268,истъщати,V-,істъштаті,3,,,,,psal-sin_pipe_removed,supr_fixed,,,,48
4269,вѣдѣниѥ,Nb,вѣдѣніе,3,,,,,psal-sin_pipe_removed,supr_fixed,,,,48
4270,непротлаченъ,A-,непротлаченъ,1,,,,,psal-sin_pipe_removed,,,,,16
4271,ислѣдовати,V-,іслѣдоваті,1,,,,,psal-sin_pipe_removed,,,,,16
4272,чоудесьнъ,A-,чоудесьнъ,3,,,,,psal-sin_pipe_removed,supr_fixed,,,,48
4273,несъдѣланъ,A-,несъдѣланъ,1,,,,,psal-sin_pipe_removed,,,,,16
4274,оплъчати,V-,оплъчаті,2,,,,,psal-sin_pipe_removed,supr_fixed,,,,48
4275,поострити,V-,поостріті,1,,,,,psal-sin_pipe_removed,,,,,16
4276,змиинъ,A-,зміінъ,6,,,,,psal-sin_pipe_removed,supr_fixed,,,,48
4277,ꙗдъ,Nb,ѣдъ,5,,,,,psal-sin_pipe_removed,supr_fixed,,,,48
4278,аспидьнь,A-,аспідьнь,1,,,,,psal-sin_pipe_removed,,,,,16
4279,припѧти,V-,пріпѧті,2,,,,,psal-sin_pipe_removed,supr_fixed,,,,48
