сапогоу,сапогоу
оученици,оученіці
его,его
г҃лѭште,глѭште
равви,равві
ѣждь,ѣждь
онъ,онъ
же,же
рече,рече
къ,къ
н҄имъ,німъ
азъ,азъ
брашьно,брашьно
ꙇмамь,імамь
ѣсти,ѣсті
егоже,егоже
вꙑ,въі
не,не
вѣсте,вѣсте
г҃лахѫ,глахѫ
же,же
оученици,оученіці
къ,къ
себѣ,себѣ
еда,еда
къто,къто
принесе,прінесе
емоу,емоу
ѣсти,ѣсті
г҃ла,гла
ꙇмъ,імъ
и҃с,іс
мое,мое
брашьно,брашьно
естъ,естъ
да,да
твор҄ѭ,творѭ
вол҄ѭ,волѭ
посълавъшаего,посълавъшаего
мѧ,мѧ
ꙇ,і
съвръшѫ,съвръшѫ
дѣло,дѣло
его,его
не,не
вꙑ,въі
ли,лі
г҃лете,глете
ѣко,ѣко
еште,еште
четꙑре,четъіре
мѣсѧци,мѣсѧці
сѫтъ,сѫтъ
ꙇ,і
жѧтва,жѧтва
придетъ,прідетъ
се,се
г҃л҄ѭ,глѭ
вамъ,вамъ
вьзведѣте,вьзведѣте
очи,очі
ваши,ваші
ꙇ,і
видите,відіте
н҄ивꙑ,нівъі
ѣко,ѣко
плавꙑ,плавъі
сѫтъ,сѫтъ
къ,къ
жѧтвѣ,жѧтвѣ
юже,юже
ꙇ,і
жьн҄ѧі,жьнѧі
мьздѫ,мьздѫ
приемл҄етъ,пріемлетъ
ꙇ,і
събираетъ,събіраетъ
плодъ,плодъ
животънꙑ,жівотънъі
да,да
сѣѩи,сѣѧі
въ коупѣ,въкоупѣ
радоуетъ,радоуетъ
сѧ,сѧ
ꙇ,і
жьн҄ѧі,жьнѧі
о,о
семь,семь
бо,бо
слово,слово
естъ,естъ
ꙇстинъное,істінъное
ѣко,ѣко
ꙇнъ,інъ
естъ,естъ
сѣѩи,сѣѧі
ꙇ,і
инъ,інъ
естъ,естъ
жьн҄ѧі,жьнѧі
азъ,азъ
же,же
посълахъ,посълахъ
вꙑ,въі
жѧтъ,жѧтъ
ꙇдеже,ідеже
вꙑ,въі
