sqlite> select corpus.tokno, corpus.chu_word_torot, corpus.autoreconstructed_lcs, corpus.lemma_id, lemmas.lemma_ocs from corpus LEFT JOIN lemmas ON corpus.lemma_id = lemmas.lemma_id where morph_tag LIKE '__i_______' AND corpus.inflexion_class = '40' ORDER BY corpus.tokno;

tokno|chu_word_torot|autoreconstructed_lcs|lemma_id|lemma_ocs
204397|хождахъ|xoђǢaxъ|129|ходити
204460|веселѧх|veseĺǢaxъ|782|веселити
204893|хожаше|xoђǢaše|129|ходити
207237|взношаше|vъznošǢaše|2054|възносити
207261|творѧше|tvoŕǢaše|101|творити
215825|приѣздѧху|prijǢžђǢaxǫ|3373|приѣздити
216935|пакостѧхуть|pakošћǢaxǫ|2183|пакостити
220048|бранѧшеть|borńǢaše|886|бранити
221749|молѧшеть|modĺǢaše|118|молити
222566|просѧхуть|prošǢaxǫ|222|просити
223033|ходѧста|xoђǢasta|129|ходити
224241|молвѧхуть|ml̥vĺǢaxǫ|427|мълвити
225558|молвѧхуть|ml̥vĺǢaxǫ|427|мълвити
228482|ѣздѧше|jǢžђǢaše|679|ѣздити
230352|люблꙗаше|ĺubĺǢaše|233|любити
230497|печалѧаше|pečǢĺǢaše|2658|печалити
231222|тѣшааше|těšǢaše|1627|тѣшити
231959|служааше|služǢaše|512|служити
236290|молꙗше|modĺǢaše|118|молити
236365|хожаше|xoђǢaše|129|ходити
236539|бл҃годарꙗше|bolgodaŕǢaše|954|благодарити
236603|люблꙗше|ĺubĺǢaše|233|любити
236647|хожаше|xoђǢaše|129|ходити
236664|жалꙗше|žǢĺǢaše|1951|жалити
236702|кѹпꙗше|kupĺǢaše|316|купити
236710|творѧше|tvoŕǢaše|101|творити
237186|молꙗше|modĺǢaše|118|молити
237271|хожаше|xoђǢaše|129|ходити
237341|хожаше|xoђǢaše|129|ходити
237498|слѹжаше|služǢaše|512|служити
237652|молꙗше|modĺǢaše|118|молити
238041|дрѹчааше|drǫčǢaše|3775|дручити
238559|молꙗаше|modĺǢaše|118|молити
238754|отъхожаше|otъxoђǢaše|697|отъходити
238762|молꙗше|modĺǢaše|118|молити
239101|прихожаше|prixoђǢaše|244|приходити
239110|исхожаахѹ|jьsxoђǢaxǫ|603|исходити
239254|острꙗше|ošћŕǢaše|2824|острити
239655|хожаше|xoђǢaše|129|ходити
239659|молꙗшети|modĺǢaše|118|молити
239678|молꙗше|modĺǢaše|118|молити
239738|молꙗхѹть|modĺǢaxǫ|118|молити
239856|отъхожааше|otъxoђǢaše|697|отъходити
240367|кѹпꙗхѹ|kupĺǢaxǫ|316|купити
240387|творꙗахѹ|tvoŕǢaxǫ|101|творити
240418|творꙗахѹть|tvoŕǢaxǫ|101|творити
240473|слѹжаше|služǢaše|512|служити
240604|излажааше|jьzlažǢaše|1941|излазити
240609|люблꙗхѹти|ĺubĺǢaxǫ|233|любити
240744|мъножаше|mъnožǢaše|1891|мъножити
240857|ѹчаше|učǢaše|257|учити
241148|рачахѹть|račǢaxǫ|1959|рачити
241231|сподобꙗшети|sъpodobĺǢaše|541|съподобити
241246|ѿхожаше|otъxoђǢaše|697|отъходити
241274|прихожааше|prixoђǢaše|244|приходити
241282|ѹчааше|učǢaše|257|учити
241311|творꙗхѹть|tvoŕǢaxǫ|101|творити
241377|молꙗаше|modĺǢaše|118|молити
241565|творѧхѹть|tvoŕǢaxǫ|101|творити
241603|творꙗше|tvoŕǢaše|101|творити
241616|творꙗахѹ|tvoŕǢaxǫ|101|творити
241756|ѿхожааше|otъxoђǢaše|697|отъходити
241842|ѹтвьрдꙗше|utvŕ̥ђǢaše|548|утвьрдити
241844|отъпѹстꙗше|otъpušћǢaše|408|отъпустити
241849|ѹчааше|učǢaše|257|учити
242187|творꙗаше|tvoŕǢaše|101|творити
242191|ѹчааше|učǢaše|257|учити
242282|славꙗаше|slavĺǢaše|695|славити
242327|прихожаахѹ|prixoђǢaxǫ|244|приходити
242342|отъхожаахѹ|otъxoђǢaxǫ|697|отъходити
242346|приношаахѹ|prinošǢaxǫ|720|приносити
242371|люблꙗаше|ĺubĺǢaše|233|любити
242392|прихожааше|prixoђǢaše|244|приходити
242403|отъхожааше|otъxoђǢaše|697|отъходити
242479|распѹстꙗше|orspušћǢaše|2368|распустити
242493|прихожааше|prixoђǢaše|244|приходити
242805|исхожаахѹ|jьsxoђǢaxǫ|603|исходити
242847|творꙗаше|tvoŕǢaše|101|творити
243148|молꙗшети|modĺǢaše|118|молити
243232|люблꙗшети|ĺubĺǢaše|233|любити
243390|исхожааше|jьsxoђǢaše|603|исходити
243394|веселꙗше|veseĺǢaše|782|веселити
243790|веселꙗше|veseĺǢaše|782|веселити
243978|трѹдꙗаше|truђǢaše|1611|трудити
244253|ѹчааше|učǢaše|257|учити
244452|творꙗхѹ|tvoŕǢaxǫ|101|творити
244477|влачахѹти|volčǢaxǫ|3013|влачити
244497|творꙗхѹть|tvoŕǢaxǫ|101|творити
244522|молѧшети|modĺǢaše|118|молити
245014|ѹчааше|učǢaše|257|учити
245282|молꙗше|modĺǢaše|118|молити
245754|исхожаше|jьsxoђǢaše|603|исходити
246115|приходѧше|prixoђǢaše|244|приходити
246265|исхожааше|jьsxoђǢaše|603|исходити
246444|прихожааше|prixoђǢaše|244|приходити
246457|прихожаахѹ|prixoђǢaxǫ|244|приходити
246753|хожаше|xoђǢaše|129|ходити
246906|ѹчаше|učǢaše|257|учити
246983|възвратѧше|vъzvorћǢaše|196|възвратити
