TOROT form,Autoreconstructed LCS,Autonormalised OCS
г҃лѭ,golgoĺǫ,глаголѭ
вамъ,vamъ,вамъ
ѣко,ako,ако
въсприемлѭтъ,vъsprijemĺǫtъ,въсприѥмлѭтъ
мъздѫ,mьzdǫ,мьздѫ
своѭ҄,svojǫ,своѭ
тꙑ,ty,тъі
же,že,же
постѧ,postę,постѧ
сѧ,sę,сѧ
помажи,pomaži,помажи
главѫ,golvǫ,главѫ
своѭ҄,svojǫ,своѭ
ꙇ,i,и
лице,like,лице
твое,tvoje,твоѥ
оумꙑи,umъji,оумъіи
да,da,да
не,ne,не
авиши,aviši,авиши
сѧ,sę,сѧ
ч҃лвкмъ,čьlověkomъ,чьловѣкомъ
постѧ,postę,постѧ
сѧ,sę,сѧ
нъ,nъ,нъ
отъцоу,otьku,отьцоу
твоемоу,tvojemu,твоѥмоу
иже,jьže,иже
естъ,jestъ,ѥстъ
въ,vъ,въ
таинѣ,tajьně,таинѣ
ꙇ,i,и
о҃тцъ,otьkь,отьць
твои,tvojь,твои
видѧи,vidęjь,видѧи
въ,vъ,въ
таинѣ,tajьně,таинѣ
въздастъ,vъzdastъ,въздастъ
тебѣ,tebě,тебѣ
ѣвѣ,avě,авѣ
Не,ne,не
съкрꙑваите,sъkryvajite,съкръіваите
себѣ,sebě,себѣ
съкровишта,sъkroviščǞ,съкровища
на,na,на
земи,zemĺi,земл҄и
ꙇ҅деже,jьdeže,идеже
чръвъ,čŕ̥vь,чрьвь
и,i,и
тьлѣ,tьĺǞ,тьлꙗ
тьлитъ,tьlitъ,тьлитъ
ꙇ҅деже,jьdeže,идеже
татие,tatьje,татиѥ
подъкопаваѭ҄тъ,podъkopavajǫtъ,подъкопаваѭтъ
й,i,и
крадѫтъ,kradǫtъ,крадѫтъ
съкрꙑваите,sъkryvajite,съкръіваите
же,že,же
себѣ,sebě,себѣ
съкровишта,sъkroviščǞ,съкровища
н҃бсе,nebese,небесе
ꙇдеже,jьdeže,идеже
ни,ni,ни
чръвь,čŕ̥vь,чрьвь
ни,ni,ни
тьлѣ,tьĺǞ,тьлꙗ
тьлитъ,tьlitъ,тьлитъ
идеже,jьdeže,идеже
татие,tatьje,татиѥ
не,ne,не
подъкопаваѭтъ,podъkopavajǫtъ,подъкопаваѭтъ
ни,ni,ни
крадѫтъ,kradǫtъ,крадѫтъ
ꙇдеже,jьdeže,идеже
бо,bo,бо
естъ,jestъ,ѥстъ
съкровище,sъkrovišče,съкровище
ваше,vaše,ваше
тоу,tu,тоу
и,i,и
с҃рдце,sŕ̥dьke,срьдьце
ваше,vaše,ваше
Свѣтильникъ,světilьnikъ,свѣтильникъ
тѣлоу,tělu,тѣлоу
естъ,jestъ,ѥстъ
око,oko,око
аще,aћe,аще
оубо,ubo,оубо
бѫдетъ,bǫdetъ,бѫдетъ
око,oko,око
твое,tvoje,твоѥ
просто,prosto,просто
вьсе,vьxe,вьсе
тѣло,tělo,тѣло
твое,tvoje,твоѥ
свѣтъло,světьlo,свѣтьло
бѫдетъ,bǫdetъ,бѫдетъ
аште,aћe,аще
ли,li,ли
око,oko,око
твое,tvoje,твоѥ
лѫкаво,lǫkavo,лѫкаво
бѫдетъ,bǫdetъ,бѫдетъ
вьсе,vьxe,вьсе
тѣло,tělo,тѣло
твое,tvoje,твоѥ
тьмъно,tьmьno,тьмьно
бѫдетъ,bǫdetъ,бѫдетъ
аще,aћe,аще
оубо,ubo,оубо
свѣтъ,světъ,свѣтъ
иже,jьže,иже
въ,vъ,въ
тебѣ,tebě,тебѣ
тъма,tьma,тьма
естъ,jestъ,ѥстъ
тѣ,tě,тѣ
тъма,tьma,тьма
кольми,kolьmi,кольми
никꙑ же,nikъjьže,никъіиже
рабъ,orbъ,рабъ
можетъ,možetъ,можетъ
дьвѣма,dъvěma,дъвѣма
господьма,gospodьma,господьма
работати,orbotati,работати
ли,li,ли
бо,bo,бо
единого,jedinogo,ѥдиного
въсненавидитъ,vъznenaviditъ,възненавидитъ
а,a,а
дроугаго,drugajego,дроугаѥго
вьзлюбитъ,vъžĺubitъ,въжлюбитъ
ли,li,ли
единого,jedinogo,ѥдиного
дръжитъ,dŕ̥žitъ,дрьжитъ
сѧ,sę,сѧ
а,a,а
о,o,о
дроуѕѣемь,drugě,дроуѕѣ
неродити,neroditi,неродити
начьнетъ,načьnetъ,начьнетъ
не,ne,не
можете,možete,можете
б҃оу,bogu,богоу
работати,orbotati,работати
и,i,и
мамонѣ,mamoně,мамонѣ
сего,sego,сего
ради,radi,ради
г҃лѭ,golgoĺǫ,глаголѭ
вамъ,vamъ,вамъ
не,ne,не
пьцѣте,pьkěte,пьцѣте
сѧ,sę,сѧ
д҃шеѭ,dušejǫ,доушеѭ
вашеѭ,vašejǫ,вашеѭ
что,čьto,чьто
ѣсте,jǞste,ꙗсте
ли,li,ли
что,čьto,чьто
пиете,pьjete,пиѥте
ни,ni,ни
тѣломъ,tělomь,тѣломь
вашимъ,vašimь,вашимь
въ,vъ,въ
что,čьto,чьто
облѣчете,obvelčete,облѣчете
сѧ,sę,сѧ
не,ne,не
ⷣ҇ша,dušǞ,доуша
ли,li,ли
больши,boĺьši,бол҄ьши
естъ,jestъ,ѥстъ
пиштѧ,piћę,пищѧ
и,i,и
тѣло,tělo,тѣло
одеждѧ,odeђę,одеждѧ
възьрите,vъzьrite,възьрите
на,na,на
пⷮ҇ицѧ,pъtikę,пътицѧ
н҃бскꙑѩ,nebesьskyję,небесьскъіѩ
ѣко,ako,ако
не,ne,не
сѣѭ҄тъ,sějǫtъ,сѣѭтъ
ни,ni,ни
жьнѭтъ,žьńǫtъ,жьнѭтъ
ни,ni,ни
събираѭтъ,sъbirajǫtъ,събираѭтъ
вь,vъ,въ
житьницѫ,žitьnikǫ,житьницѫ
ꙇ,i,и
о҃тцъ,otьkь,отьць
вашъ,vašь,вашь
