povědaaše|повѣдааше
poklańǞaxǫ|покланꙗахѫ
sę|сѧ
jejь|ѥи
vъpьjǫћe|въпиѭще
i|и
golgoĺǫћe|глаголѭще
|
orbo|рабо
boga|бога
vyšьńǞjego|въішьнꙗѥго
sъgrěšixomъ|съгрѣшихомъ
perdъ|прѣдъ
tobojǫ|тобоѭ
|
nъ|нъ
|
ny|нъі
ako|ако
bolga|блага
boga|бога
|
pomodli|помодли
sę|сѧ
xristosu|христосоу
da|да
podastъ|подастъ
namъ|намъ
viděnьjǞ|видѣниꙗ
svętajǞ|свѧтаꙗ
že|же
|
milosŕ̥dovavъši|милосрьдовавъши
vъzę|възѧ
vody|водъі
malo|мало
i|и
vъzvedъši|възведъши
oči|очи
svoji|свои
na|на
nebo|небо
pomodli|помодли
sę|сѧ
bogu|богоу
golgoĺǫћi|глаголѭщи
gospodi|господи
jisusъ|исоусъ
xristose|христосе
sъpase|съпасе
vьxěxъ|вьсѣхъ
čьlověkъ|чьловѣкъ
uslyši|оуслъіши
mene|мене
i|и
pokaži|покажи
čudesa|чоудеса
svojǞ|своꙗ
jǞže|ꙗже
tvoriši|твориши
synъmь|съінъмь
čьlověčьskomь|чьловѣчьскомь
i|и
|
jimъ|имъ
viděnьje|видѣниѥ
da|да
proslavę|прославѧ
svętoje|свѧтоѥ
i|и
|
jьmę|имѧ
tvoje|твоѥ
i|и
tako|тако
|
vьxь|вьсь
narodъ|народъ
i|и
vьxi|вьси
oslěpĺeniji|ослѣпл҄ении
prozьrěšę|прозьрѣшѧ
i|и
tekъše|текъше
vъ|въ
kŕ̥kъvь|црькъвь
xristosovǫ|христосовѫ
kajǞaxomъ|каꙗахомъ
sę|сѧ
slavęћe|славѧще
boga|бога
i|и
jьspovědajǫћe|исповѣдаѭще
grěxy|грѣхъі
svoję|своѩ
byšę|бъішѧ
|
svętъjь|свѧтъіи
že|же
pavьlъ|павьлъ
na|на
mъnogě|мъноѕѣ
mǫčimъ|мѫчимъ
i|и
bьjemъ|биѥмъ
|
želěznami|желѣзнами
běaxǫ|бѣахѫ
bo|бо
|
svьtęћe|свьтѧще
sę|сѧ
|
mĺ̥dnьję|мльдниѩ
i|и
vъpьjǞaše|въпиꙗаше
golgoĺę|глаголѩ
|
mǫčiteĺu|мѫчителю
i|и
|
čьto|чьто
zъlo|зъло
sъtvoŕьšǞ|сътвор҄ьша
mę|мѧ
|
i|и
|
mǫčiši|мѫчиши
mъně|мънѣ
bo|бо
|
otъ|отъ
mǫkъ|мѫкъ
xristosъ|христосъ
tebe|тебе
že|же
jьmatъ|иматъ
pričęstьnika|причѧстьница
sъtvoriti|сътворити
ogńu|огню
věčьnujemu|вѣчьноуѥмоу
ugotovanъjь|оуготованъіи
tebě|тебѣ
i|и
dьjǞvolu|диꙗволоу
|
reče|рече
kъde|къде
jestъ|ѥстъ
sestra|сестра
tvojǞ|твоꙗ
jǫže|ѭже
ty|тъі
|
děvǫ|дѣвѫ
sǫћǫ|сѫщѫ
se|се
posъlaxъ|посълахъ
jǫ|ѭ
na|на
|
da|да
projьdǫtъ|проидѫтъ
jǫ|ѭ
vьxi|вьси
xotęћeji|хотѧщеи
ješčě|ѥщѣ
děva|дѣва
jestъ|ѥстъ
svętъjь|свѧтъіи
pavьlъ|павьлъ
reče|рече
věrujǫ|вѣроуѭ
bogu|богоу
|
mi|ми
bolězni|болѣзни
i|и
jьzbavęћǞ|избавѧща
mę|мѧ
otъ|отъ
vьxěxъ|вьсѣхъ
zъlъjixъ|зълъіихъ
tvojixъ|твоихъ
|
ako|ако
i|и
tǫ|тѫ
jьmatъ|иматъ
pokryti|покръіти
posъla|посъла
bo|бо
anǵela|анꙉела
svojego|своѥго
﻿sъ|﻿съ
|
nebesьskъjixъ|небесьскъіихъ
sъxorniti|съхранити
jǫ|ѭ
i|и
se|се
čisto|чисто
i|и
perčisto|прѣчисто
jьmǫћi|имѫщи
děvьstvo|дѣвьство
vъzvorћǞjetъ|възвращаѥтъ
sę|сѧ
viděti|видѣти
ǫzy|ѫзъі
moję|моѩ
i|и
povelě|повелѣ
|
privesti|привести
svętǫjǫ|свѧтѫѭ
|
i|и
prišьdъši|пришьдъши
jejь|ѥи
kъ|къ
sǫdьjišču|сѫдиищоу
viděvъ|видѣвъ
jǫ|ѭ
pavьlъ|павьлъ
jьspĺ̥ni|испльни
sę|сѧ
radosti|радости
i|и
|
sę|сѧ
|
že|же
reče|рече
nasytišę|насъітишѧ
li|ли
sę|сѧ
|
tvoji|твои
|
tvojeję|твоѥѩ
|
reče|рече
mojǞ|моꙗ
|
i|и
|
i|и
|
xristosъ|христосъ
jestъ|ѥстъ
jьže|иже
posъla|посъла
anǵela|анꙉела
svojego|своѥго
i|и
pokry|покръі
mę|мѧ
ubogǫjǫ|оубогѫѭ
ako|ако
upъvaaxъ|оупъваахъ
na|на
ńь|н҄ь
i|и
slavĺǫ|славлѭ
svętoje|свѧтоѥ
jьmę|имѧ
jego|ѥго
ako|ако
tъ|тъ
jesmь|ѥсмь
bogъ|богъ
tvoręjь|творѧи
čudesa|чоудеса
i|и
něstъ|нѣстъ
jьnogo|иного
razvě|развѣ
togo|того
i|и
povelě|повелѣ
|
otrěšiti|отрѣшити
pavьla|павьла
i|и
jьskopati|ископати
|
vъ|въ
zemĺi|земл҄и
devęti|девѧти
olkъtъ|лакътъ
i|и
prinesti|принести
|
i|и
ogńь|огн҄ь
i|и
žeћi|жещи
vъ|въ
|
i|и
tomu|томоу
besědujǫћu|бесѣдоуѭщоу
jьskopašę|ископашѧ
|
i|и
prinesošę|принесошѧ
|
i|и
ogńь|огн҄ь
i|и
|
vъ|въ
|
|
povelě|повелѣ
vъverћi|въврѣщи
pavьla|павьла
i|и
|
vъ|въ
ogńь|огн҄ь
ona|она
že|же
jьdǫћǞ|идѫща
bolgoslovĺǞsta|благословлꙗста
boga|бога
i|и
modlista|модлиста
sъpasa|съпаса
jisusu|исоусоу
xristosa|христоса
pomoћьnika|помощьница
i|и
prišьdъšǞ|пришьдъша
na|на
město|мѣсто
|
liki|лици
svoji|свои
obrazomь|образомь
|
xristosovomь|христосовомь
i|и
vъvŕ̥gošę|въврьгошѧ
jǞ|ꙗ
vъ|въ
ogńь|огн҄ь
i|и
běasta|бѣаста
vъ|въ
ogńi|огн҄и
pojьmǫћǞ|поимѫща
i|и
xvalęћǞ|хвалѧща
boga|бога
i|и
se|се
anǵelъ|анꙉелъ
gospodьńь|господьн҄ь
sъšьdъ|съшьдъ
﻿sъ|﻿съ
nebese|небесе
|
vъnъ|вънъ
|
﻿sъ|﻿съ
ogńemь|огн҄емь
i|и
ne|не
dastъ|дастъ
ogńu|огню
|
jima|има
i|и
pěsta|пѣста
bolgoslovęћǞ|благословѧща
boga|бога
vъ|въ
|
ogńьnějemь|огн҄ьнѣѥмь
goręћijemь|горѧщиѥмь
golgoĺǫћǞ|глаголѭща
bolgoslovĺenъ|благословл҄енъ
jesi|ѥси
gospodi|господи
bože|боже
vьxěxъ|вьсѣхъ
věkъ|вѣкъ
bessъmŕ̥tьnъjь|бессъмрьтьнъіи
jьže|иже
pomęnǫ|помѧнѫ
|
naše|наше
nedostojьnomъ|недостоиномъ
sǫћemъ|сѫщемъ
grěxъ|грѣхъ
radi|ради
našixъ|нашихъ
|
sy|съі
i|и
bolgъ|благъ
