636,такъжде,Pd,такъжде
637,творити,V-,творіті
638,раздрѣшениѥ,Nb,раздрѣшеніе
639,помощь,Nb,помошть
640,пѧть,Ma,пѧть
641,въздвигнѫти,V-,въздвігнѫті
642,похоть,Nb,похоть
643,кꙑиже,Pr,къііже
644,възлюблѥниѥ,Nb,възлюбленіе
645,зълоба,Nb,зълоба
646,върѣснити,V-,върѣсніті
647,тьмьнъ,A-,тьмьнъ
648,отъвести,V-,отъвесті
649,закленѫти,V-,закленѫті
650,достоино,Df,достоіно
651,въсѫдьнъ,A-,въсѫдьнъ
652,отѧти,V-,отѧті
653,лѫкавьство,Nb,лѫкавьство
654,съ,Pd,съ
655,прѣставлѥниѥ,Nb,прѣставленіе
656,съвѣстовати,V-,съвѣстоваті
657,ничьтоже,Px,нічьтоже
658,противити,V-,протівіті
659,такоже,Df,такоже
660,приспѣти,V-,пріспѣті
661,помолити,V-,помоліті
662,приснодѣва,Nb,пріснодѣва
663,мариꙗ,Ne,маріѣ
664,прѣподобьнъ,A-,прѣподобьнъ
665,чистъ,A-,чістъ
666,дѣва,Nb,дѣва
667,възвеселити,V-,възвеселіті
668,отъплатити,V-,отъплатіті
669,оставити,V-,оставіті
670,олътарь,Nb,олътарь
671,ити,V-,іті
672,съмирити,V-,съміріті
673,тъгда,Df,тъгда
674,оувѣщати,V-,оувѣштаті
675,сѫпьрь,Nb,сѫпьрь
676,скоро,Df,скоро
677,доньде,G-,доньде
678,пѫть,Nb,пѫть
679,прѣдати,V-,прѣдаті
680,сѫдии,Nb,сѫдіі
681,слоуга,Nb,слоуга
682,тьмьница,Nb,тьмьніца
683,въврѣщи,V-,въврѣшті
684,изити,V-,ізіті
685,отътѫдѣ,Df,отътѫдѣ
686,въздати,V-,въздаті
687,послѣдьнии,A-,послѣдьніі
688,кодрантъ,Nb,кодрантъ
689,слꙑшати,V-,слъішаті
690,древльнь,A-,древльнь
691,прѣлюбꙑ,Nb,прѣлюбъі
692,възьрѣти,V-,възьрѣті
693,жена,Nb,жена
694,оуже,Df,оуже
695,деснъ,A-,деснъ
696,съблажнꙗти,V-,съблажнѣті
697,изѧти,V-,ізѧті
698,врѣщи,V-,врѣшті
699,оунии,A-,оуніі
700,погꙑбати,V-,погъібаті
701,геона,Nb,геона
702,оусѣщи,V-,оусѣшті
703,аще,Df,аште
704,поустити,V-,поустіті
705,распоустьнъ,A-,распоустьнъ
706,поущати,V-,поуштаті
707,развѣ,R-,развѣ
708,любодѣꙗньнъ,A-,любодѣѣньнъ
709,дѣꙗти,V-,дѣѣті
710,потьпѣга,Nb,потьпѣга
711,поимати,V-,поіматі
712,клѧти,V-,клѧті
713,отънѫдь,Df,отънѫдь
714,прѣстолъ,Nb,прѣстолъ
715,подъножиѥ,Nb,подъножіе
716,нога,Nb,нога
717,иѥроусалимъ,Ne,іероусалімъ
718,градъ,Nb,градъ
719,глава,Nb,глава
720,власъ,Nb,власъ
721,бѣлъ,A-,бѣлъ
722,чрьнъ,A-,чрьнъ
723,вашь,Ps,вашь
724,ни,I-,ні
725,неприꙗзнь,Nb,непріѣзнь
726,за,R-,за
727,зѫбъ,Nb,зѫбъ
728,оударити,V-,оударіті
729,ланита,Nb,ланіта
730,сѫдъ,Nb,сѫдъ
731,риза,Nb,різа
732,отъпоустити,V-,отъпоустіті
733,срачица,Nb,срачіца
734,поѩти,V-,поѧті
735,попьрище,Nb,попьріште
736,оу,R-,оу
737,даꙗти,V-,даѣті
738,заѩти,V-,заѧті
739,отъвратити,V-,отъвратіті
740,искрьнии,A-,іскрьніі
741,възненавидѣти,V-,възненавідѣті
742,врагъ,Nb,врагъ
743,любити,V-,любіті
744,ненавидѣти,V-,ненавідѣті
745,напасть,Nb,напасть
746,изгонити,V-,ізгоніті
747,слъньце,Nb,слъньце
748,сиꙗти,V-,сіѣті
749,дъждити,V-,дъждіті
750,мьзда,Nb,мьзда
751,мꙑтарь,Nb,мъітарь
752,ли,Du,лі
753,цѣловати,V-,цѣловаті
754,дроугъ,Nb,дроугъ
755,тъкъмо#1,Df,тъкъмо#1
756,съврьшенъ,A-,съврьшенъ
757,ꙗко,Dq,ѣко
758,вънимати,V-,въніматі
759,милостꙑни,Nb,мілостъіні
760,ни,Df,ні
761,въстрѫбити,V-,въстрѫбіті
762,ѵпокритъ,Nb,упокрітъ
763,съньмище,Nb,съньміште
764,стьгна,Nb,стьгна
765,въсприѩти,V-,въспріѧті
766,чоути,V-,чоуті
767,шоуица,Nb,шоуіца
768,десница,Nb,десніца
769,таина,Nb,таіна
770,авѣ,Df,авѣ
771,ꙗко#1,Df,ѣко#1
772,лицемѣръ,Nb,ліцемѣръ
773,распѫтиѥ,Nb,распѫтіе
774,стоꙗти,V-,стоѣті
775,въсприимати,V-,въспрііматі
776,клѣть,Nb,клѣть
777,затворити,V-,затворіті
778,ѩзꙑчьникъ,Nb,ѧзъічьнікъ
779,глаголаниѥ,Nb,глаголаніе
780,трѣбовати,V-,трѣбоваті
781,прошениѥ,Nb,прошеніе
782,цѣсарьствиѥ,Nb,цѣсарьствіе
783,хлѣбъ,Nb,хлѣбъ
784,настати,V-,настаті
785,дьньсь,Df,дьньсь
786,длъгъ,Nb,длъгъ
787,отъпоущати,V-,отъпоуштаті
788,длъжьникъ,Nb,длъжьнікъ
789,въвести,V-,въвесті
790,съгрѣшениѥ,Nb,съгрѣшеніе
791,постити,V-,постіті
792,просмраждати,V-,просмраждаті
793,лице,Nb,ліце
794,помазати,V-,помазаті
795,оумꙑти,V-,оумъіті
796,съкрꙑвати,V-,съкръіваті
797,съкровище,Nb,съкровіште
798,идеже,Dq,ідеже
799,чрьвь,Nb,чрьвь
800,тьлꙗ,Nb,тьлѣ
801,тьлити,V-,тьліті
802,тать,Nb,тать
803,подъкопавати,V-,подъкопаваті
804,красти,V-,красті
805,свѣтильникъ,Nb,свѣтільнікъ
806,простъ,A-,простъ
807,свѣтьлъ,A-,свѣтьлъ
808,лѫкавъ,A-,лѫкавъ
