lemma,lemma_id,pos,lemma_has_jer,tokens,jer_tokens
отълучати,161654,V-,true,отълѹчаи|ѿлѹчаше|ѿлучаше,
маловрѣменьныи,161655,A-,true,маловременьныи|маловремениое|малѡвременное,
побѣдоносьць,161658,Nb,true,побѣдоносьць,
рьвьние,161660,Nb,true,рьвениѥ|рьвьниѥ,
алъкание,161662,Nb,true,алканиѥмь|алканїѧ|ал꙽канїе,
медоточьныи,161663,A-,true,медоточьныихъ,
заврѣщи,161670,V-,false,завьрже,завьрже
отъядение,161673,Nb,true,ѿꙗдении|отъꙗдении,
истъргнути,161676,V-,true,истьргъши,
тъмутороканьскыи,161682,A-,true,тьмѹтороканьскыи|тьмутораканьскый,
прѣдъложение,161685,Nb,true,предъложениѥ|предложенїе|предложенїю,
цьркъвица,161686,Nb,true,цр҃квицю|цр҃квицꙋ,
копытьце,161688,Nb,true,копытьца|копытьцемъ,
ручьныи,161690,A-,true,рѹчьнаꙗ|рѹчьноѥ|рꙋчныхъ,
състроение,161691,Nb,true,състроѥниѥ,
поспѣшьство,161696,Nb,true,поспѣшьствъмь,
съплетение,161699,Nb,true,съплетениѥ|съплетенїѧ,
непоступьныи,161700,A-,true,непостѹпьнъ,
скудьныи,161704,A-,true,скѹдно|скоудни,
поскърбѣти,161705,V-,true,поскърбе|поскърьбѣ|[поскорбѣлъ],поскърбе|поскърьбѣ
плътьныи,161707,A-,true,плътьнѣмь|плотнымъ|плѿнымъ,
нескудьно,161708,Df,true,не скѹдьно|нескꙋдно,
възгражение,161710,Nb,true,възгражениѥ|възгражении|возъграженїѧ,возъграженїѧ
присьнодѣвица,161711,Nb,true,приснод҃вца,
чьрноризьныи,161712,A-,true,чьрноризьнѹ,
усьрдие,161713,Nb,true,ѹсьрдиѥмь|ѹсьрьдиѥмь|ѹсердїем|ѹсерьдїе|ѹсердїемъ|ѹсердїѧ|ѹсръдїемъ|ѹсердїе,
объходити,161714,V-,true,обьходꙗщю|ѡбʼхождаше|ѡбʼхожахꙋ|ѡб꙽ходиста|ѡбходити|обходити|ѡбьходѧщиѧ,
посъпати,161720,V-,true,посъпавъ,
колесьница,161721,Nb,true,колесницахъ|колесница|колесницѣ|колесници,
мъниховъ,161725,A-,true,мниховы,
павечерьнии,161728,A-,true,павечерьнии|павечернꙗꙗ|павечернеи,
праздьнословие,161730,Nb,true,праздьнословиꙗ,
объѣдание,161731,Nb,true,обиѣданиѥ,
възгнушати,161732,V-,true,възгнѹшаимъ,
осквьрнавити,161733,V-,true,осквьрнавимы,
бльвотина,161734,Nb,true,бльвотины|блевотины,
шьствие,161737,Nb,true,шьствиꙗ|шествие,
радованьныи,161738,A-,true,радованьна,
отъѣдение,161745,Nb,true,отъѣдении|ѿѣдении,
хрьстолюбьць,161746,Nb,true,хо҃любьць|хо҃любьца|хо҃любьцю|хо҃любьцѧ|хо҃любьцьмь|х҃олюбьцю|х҃олюбьць|хо҃любивѹ|хо҃любьци|хсолюбецъ|хрстолюбецъ|хѡ҃любца|х҃ѡлюбца,хо҃любьца|хо҃любьцѧ
потьрпѣти,161747,V-,true,потрьпи|потьрьпи|потьрьпимъ|потерпим|потерпимъ|потерпи,потьрьпимъ
послѣдъкъ,161756,Nb,true,послѣдъцѣ|послѣдокъ|послѣдок,
пещьница,161758,Nb,true,пещьницю,
служьбьникъ,161762,Nb,true,слѹжьбьникъ,
въскраи,161763,R-,true,въскраи,
възливати,161765,V-,true,възливающа|возливати,
възволочати,161767,V-,true,възволочааше,възволочааше
възиграти,161768,V-,true,възыграите|взыгра,
посъпание,161770,Nb,true,посъпаниꙗ,посъпаниꙗ
трудьныи,161771,A-,true,трѹдьнъ|трудныхъ|трудномъ,
