лице|Nb|59927|like|nt_o_PV3|2|lik
тѣло|Nb|58822|tělo|nt_S|2|těl
христ(ос)овъ|A-|66913|xristosovъ|adj_hard|2|xristosov
бывати|V-|59322|byvati|54|1|byva
пьрвѣе|Df|64416|pŕ̥věje||0|pŕ̥věje
кънига|Nb|121755|kъńiga|fem_a|2|kъnjig
срѣда|Nb|140441|serda|fem_a|2|serd
слава|Nb|64748|slava|fem_a|2|slav
небо|Nb|58920|nebo|nt_S|2|neb
проити|V-|65648|projьti|jьti|1|pro
вьседьржитель|Nb|81169|vьxedŕ̥žiteĺь|masc_tel|2|vьxedŕ̥ži
свѣтъ|Nb|70455|světъ|masc_o|2|svět
корение|Nb|59276|korenьje|nt_jo|2|korenьj
высокыи|A-|65093|vysokъ|adj_hard|2|vysok
драгыи|A-|64876|dorgъ|adj_hard|2|dorg
локъть|Nb|66493|olkъtь|ten|2|olkъt
малыи|A-|65416|malъ|adj_hard|2|mal
жьртва|Nb|64016|žŕ̥tva|fem_a|2|žŕ̥tv
дорогыи|A-|64876|dorgъ|adj_hard|2|dorg
приносити|V-|60229|prinositi|40|1|prinos
поити#2|V-|138242|pojiti|40|1|poj
зачати|V-|67619|začęti|12|1|začьn
новыи|A-|65117|novъ|adj_hard|2|nov
дьрати|V-|117888|dьrati|51_abl|1|dьr
воня|Nb|69424|vońǢ|fem_ja|2|vonj
о|I-|65199|o||0|o
благовѣрьныи|A-|81561|bolgověrьnъ|adj_hard|2|bolgověrьn
еже|G-|59323|ježe||0|ježe
въпадати|V-|68607|vъpadati|54|1|vъpada
съжалити|V-|67463|sъžǢliti|40|1|sъžǢl
бѣда|Nb|69007|běda|fem_a|2|běd
мъного|Df|59249|mъnogo||0|mъnogo
плакати|V-|70086|plakati|52|1|plak
рещи|V-|58793|reћi|11|1|rek
господинъ|Nb|65068|gospodinъ|masc_o|2|gospodin
истина|Nb|59928|jьstina|fem_a|2|jьstin
помышление|Nb|64389|pomyšĺenьje|nt_jo|2|pomysljenьj
въпасти|V-|66863|vъpasti|11|1|vъpad
яко|Df|85825|ako||0|ako
путь|Nb|58763|pǫtь|masc_i|2|pǫt
истиньныи|A-|59924|jьstinьnъ|adj_hard|2|jьstinьn
заблудити|V-|67440|zablǫditi|40|1|zablǫd
отъвратити|V-|66281|otъvortiti|40|1|otъvort
скърбь|Nb|68098|skr̥bь|fem_i|2|skr̥b
близъ|R-|68945|blizъ||0|blizъ
призьрѣти|V-|67620|prizьrěti|31|1|prizьr
съзьдание|Nb|65439|sъzьdanьje|nt_jo|2|sъzьdanьj
наставити|V-|69508|nastaviti|40|1|nastav
никыиже|Px|66468|nikъjьže|kъjьže|2|nik
нужа|Nb|68751|nǫђǢ|fem_ja|2|nǫdj
упъвати|V-|65645|upъvati|54|1|upъva
съпасти#1|V-|70480|sъpasti|11|1|sъpas
вънити|V-|59000|vъnjьti|jьti|1|vъn
крило|Nb|67796|kridlo|nt_o|2|kridl
привязати|V-|750003|privęzati|54|1|privęza
ухо|Nb|64194|uxo|oko|2|ux
благыи|A-|65623|bolgъ|adj_hard|2|bolg
надъ|R-|67778|nadъ||0|nadъ
нести|V-|59122|nesti|11|1|nes
мъножьство|Nb|65300|mъnožьstvo|nt_o|2|mъnožьstv
пълныи|A-|68059|pĺ̥nъ|adj_hard|2|pĺ̥n
сладъкыи|A-|81613|soldъkъ|adj_hard|2|soldъk
варъ|Nb|67053|varъ|masc_o|2|var
вѣтръ|Nb|59230|větrъ|masc_o|2|větr
лихыи|A-|64043|lixъ|adj_hard|2|lix
тако|Df|59223|tako||0|tako
губа|Nb|66143|gǫba|fem_a|2|gǫb
камо|Du|69215|kamo||0|kamo
сѣсти|V-|64044|sěsti|infix_11|1|sěd
блюсти|V-|64031|bĺusti|11|1|bjud
петровъ|A-|69185|petrovъ|adj_hard|2|petrov
готовыи|A-|65071|gotovъ|adj_hard|2|gotov
заповѣдати|V-|64443|zapovědati|54|1|zapověda
сестра|Nb|65650|sestra|fem_a|2|sestr
еще|Df|59543|ješče||0|ješče
сила|Nb|60105|sila|fem_a|2|sil
чистыи|A-|64172|čistъ|adj_hard|2|čist
изити|V-|58784|jьzjьti|jьti|1|jьz
изгыбнути|V-|68818|jьzgybnǫti|21|1|jьzgyb
сквозѣ|R-|59124|skvozě||0|skvozě
тещи|V-|59418|teћi|11|1|tek
сторона|Nb|59047|storna|fem_a|2|storn
зълыи|A-|66277|zъlъ|adj_hard|2|zъl
угодьныи|A-|69370|ugodьnъ|adj_hard|2|ugodьn
дьбрь|Nb|67751|dьbrь|fem_i|2|dьbr
голодъ|Nb|64243|goldъ|masc_o|2|gold
съмотрити|V-|66497|sъmotriti|40|1|sъmotr
мужьскыи|A-|67560|mǫžьskъ|adj_hard|2|mǫžьsk
женьскыи|A-|67561|ženьskъ|adj_hard|2|ženьsk
полонъ|Nb|83628|pelnъ|masc_o|2|peln
поморие|Nb|67967|pomoŕьje|nt_jo|2|pomorjьj
вышьнии|A-|58997|vyšьńь|adj_soft|2|vyšьnj
крьщение|Nb|58869|krьšћenьje|nt_jo|2|krьstjenьj
устроити|V-|67332|ustrojiti|40|1|ustroj
заповѣдь|Nb|60203|zapovědь|fem_i|2|zapověd
устрьмити|V-|60261|ustrьmiti|40|1|ustrьm
умъ|Nb|69177|umъ|masc_o|2|um
небесьныи|A-|79134|nebesьnъ|adj_hard|2|nebesьn
судити|V-|66605|sǫditi|40|1|sǫd
благодать|Nb|67626|bolgodatь|fem_i|2|bolgodat
пожещи|V-|81186|požeћi|11|1|požeg
село|Nb|59427|selo|nt_o|2|sel
мария|Ne|65899|marijǢ|fem_ja|2|marij
възнести|V-|65967|vъznesti|11|1|vъznes
чьрмьныи|A-|73335|čŕ̥mьnъ|adj_hard|2|čŕ̥mьn
възвратити|V-|64406|vъzvortiti|40|1|vъzvort
развѣ|R-|58854|razvě||0|razvě
бо|Df|58825|bo||0|bo
прѣити|V-|59053|per+jьti|jьti|1|per+
аминъ|I-|64583|aminь||0|aminь
миръ|Nb|69989|mirъ|masc_o|2|mir
направити|V-|68355|napraviti|40|1|naprav
сьрдьце|Nb|58805|sŕ̥dьke|nt_o_PV3|2|sŕ̥dьk
начати|V-|59102|načęti|12|1|načьn
разумъ|Nb|64017|orzumъ|masc_o|2|orzum
коньчати|V-|67730|konьčǢti|54|1|konьčǢ
дѣло|Nb|64813|dělo|nt_o_S|2|děl
иже|Pr|58800|jьže|jьže|2|
нынѣ|Df|64687|nyně||0|nyně
глаголати|V-|58791|golgolati|52|1|golgol
недостоиныи|A-|68876|nedostojьnъ|adj_hard|2|nedostojьn
разумѣти|V-|59914|orzuměti|32|1|orzum
припадати|V-|65787|pripadati|54|1|pripada
помощь|Nb|79522|pomoћь|fem_i|2|pomogt
просити|V-|59329|prositi|40|1|pros
управити|V-|68554|upraviti|40|1|uprav
утвьрдити|V-|65207|utvŕ̥diti|40|1|utvŕ̥d
глаголание|Nb|65968|golgolanьje|nt_jo|2|golgolanьj
устьна|Nb|60198|ustьna|fem_a|2|ustьn
сътужати|V-|65211|sъtǫžǢti|54|1|sъtǫžǢ
нъ|C-|59326|nъ||0|nъ
приготовити|V-|122801|prigotoviti|40|1|prigotov
да|G-|58766|da||0|da
просвѣтити|V-|68354|prosvětiti|40|1|prosvět
десныи|A-|58816|desnъ|adj_hard|2|desn
причастьникъ|Nb|68375|pričęstьnikъ|masc_o|2|pričęstьnik
избьрати|V-|64727|jьzbьrati|51_abl|1|jьzbьr
въздъхнути|V-|64582|vъzdъxnǫti|21|1|vъzdъx
възглаголати|V-|64390|vъzgolgolati|52|1|vъzgolgol
сирѣчь|Df|66938|sirěčь||0|sirěčь
животъ|Nb|65425|životъ|masc_o|2|život
духъ|Nb|58909|duxъ|masc_o|2|dux
прочии|A-|65949|pročь|adj_soft|2|proč
разумѣвати|V-|64191|orzuměvati|54|1|orzuměva
аще|G-|58819|aћe||0|atje
мощи|V-|59413|moћi|11|1|mog
испасти|V-|85982|jьspasti|11|1|jьspad
отъврѣщи|V-|65080|otъverћi|14|1|otъvŕ̥g
нежели|Df|137778|neželi||0|neželi
обои|Ma|67911|obojь|pron_soft|2|oboj
покланяти|V-|69245|poklańǢti|54|1|poklanjǢ
страдати|V-|66822|stradati|52|1|strad
умирати|V-|60057|umirati|54|1|umira
убо|Df|58911|ubo||0|ubo
зане|G-|71773|zańe||0|zanje
сътяжати|V-|73481|sъtęžǢti|31|1|sъtęž
измѣнити|V-|78997|jьzměniti|40|1|jьzměn
тъкъмо#1|Df|59085|tъkъmo||0|tъkъmo
съмьрть|Nb|64177|sъmŕ̥tь|fem_i|2|sъmŕ̥t
ради|R-|59331|radi||0|radi
съконьчавати|V-|72135|sъkonьčǢvati|54|1|sъkonьčǢva
вьсегда|Df|64969|vьxegъda||0|vьxegъda
научити|V-|66564|naučiti|40|1|nauč
павьлъ|Ne|73098|pavьlъ|masc_o_u|2|pavьl
апостолъ|Nb|66565|apostolъ|masc_o|2|apostol
прѣжде|Df|64254|perђe||0|perdje
хытрость|Nb|78941|xytrostь|fem_i|2|xytrost
имѣти|V-|59090|jьměti|have|1|
егда|Dq|66511|jegъda||0|jegъda
въмѣнити|V-|71759|vъměniti|40|1|vъměn
сице|Df|68658|sike||0|sike
яко|G-|58792|ako||0|ako
вънѣшьнии|A-|66801|vъněšьńь|adj_soft|2|vъněšьnj
тьля|Nb|66376|tьĺǢ|fem_ja|2|tьlj
пагуба|Nb|66688|paguba|fem_a|2|pagub
обрѣсти|V-|58937|obrěsti|rěsti|1|ob
тъкъмо#2|Df|74339|tъkъmo||0|tъkъmo
чисти|V-|60144|čisti|ьt|1|č
погыбати|V-|66247|pogybati|52|1|pogyb
понеже|G-|65912|pońeže||0|ponježe
любы|Nb|66231|ĺuby|fem_uu|2|ljub
льсть|Nb|64213|lьstь|fem_i|2|lьst
благоволити|V-|58927|bolgovoliti|40|1|bolgovol
неправьда|Nb|68736|nepravьda|fem_a|2|nepravьd
ученикъ|Nb|59097|učenikъ|masc_o|2|učenik
врѣмя|Nb|59030|vermę|nt_N|2|verm
распятие|Nb|84100|orspętьje|nt_jo|2|orspętьj
господьнь|A-|58991|gospodьńь|adj_soft|2|gospodьnj
прѣложити|V-|73331|perložiti|40|1|perlož
луна|Nb|64739|luna|fem_a|2|lun
кръвь|Nb|60329|kry|fem_uu|2|kr
звѣзда|Nb|64741|gvězda|fem_a|2|gvězd
явити|V-|65102|aviti|40|1|av
коньчина|Nb|60291|konьčina|fem_a|2|konьčin
слово|Nb|58855|slovo|nt_S|2|slov
плъть|Nb|64697|plъtь|fem_i|2|plъt
обычаи|Nb|65435|obyčǢjь|masc_jo|2|obyčǢj
тварь|Nb|66147|tvarь|fem_i|2|tvar
знамение|Nb|64232|znamenьje|nt_jo|2|znamenьj
именовати|V-|67962|jьmenovati|61|1|jьmen
положити|V-|64024|položiti|40|1|polož
прѣдѣлъ|Nb|59564|perdělъ|masc_o|2|perděl
яко|Dq|58922|ako||0|ako
гнѣвъ|Nb|65122|gněvъ|masc_o|2|gněv
западъ|Nb|68273|zapadъ|masc_o|2|zapad
закрыти|V-|69068|zakryti|18|1|zakr
шьствие|Nb|68733|šьstvьje|nt_jo|2|šьstvьj
моръ|Nb|68996|morъ|masc_o|2|mor
помьркнути|V-|69135|pomŕ̥knǫti|21|1|pomŕ̥k
