696,възбьнути,V-,1
697,рано,Df,1
698,годъ,Nb,13
699,утрьнии,A-,10
700,недѣля,Nb,12
701,заутрьнии,A-,4
702,обути,V-,1
703,нога,Nb,11
704,умыти,V-,1
705,подъступити,V-,1
706,близъ,Df,1
707,страстотьрпьць,Nb,7
708,псалътырь,Nb,5
709,вѣсть,Nb,3
710,убиение,Nb,1
711,умъножити,V-,6
712,сътужати,V-,1
713,псалъмъ,Nb,5
714,до,R-,27
715,коньць,Nb,10
716,обити,V-,1
717,пьсъ,Nb,3
718,уньць,Nb,1
719,тучьныи,A-,1
720,одьржати,V-,4
721,таже,C-,3
722,канонъ,Nb,1
723,коньчати,V-,2
724,икона,Nb,7
725,господьнь,A-,10
726,исусъ,Ne,16
727,христ(ос)ъ,Ne,24
728,явити,V-,23
729,изволити,V-,9
730,пригвоздити,V-,2
731,крьстъ,Nb,2
732,шьпътъ,Nb,1
733,окрьстъ,R-,2
734,трепетьныи,A-,3
735,зависть,Nb,1
736,прѣстрадати,V-,1
737,въсхотѣти,V-,9
738,възискати,V-,2
739,ничьтоже,Px,19
740,тьрпѣти,V-,15
741,имати,V-,3
742,искати,V-,6
743,отъмести,V-,1
744,въину,Df,2
745,законъ,Nb,3
746,годѣ,Df,2
747,попинъ,Nb,1
748,служити,V-,9
749,дряхлыи,A-,2
750,облияти,V-,2
751,зѣло,Df,27
752,расплакати,V-,1
753,милыи,A-,7
754,вѣ,Pp,1
755,колико,Du,4
756,благость,Nb,2
757,христ(ос)овъ,A-,11
758,умилити,V-,7
759,абие,Df,18
760,тещи,V-,9
761,блистание,Nb,1
762,оружие,Nb,7
763,мечьныи,A-,1
764,оцѣщение,Nb,1
765,пробости,V-,4
766,мъногомилостивыи,A-,2
767,насунути,V-,1
768,копие,Nb,2
769,тальць,Ne,1
770,еловичь,Ne,1
771,ляшько,Ne,1
772,врѣщи,V-,1
773,идѣже,Dq,24
774,увядати,V-,1
775,угъринъ,Nb,1
776,възложити,V-,9
777,златыи,A-,1
778,паче,Df,21
779,мѣра,Nb,2
780,проньзти,V-,1
781,уранити,V-,1
782,искочити,V-,1
783,оторопъ,Nb,1
784,стояти,V-,12
785,округъ,R-,1
786,приступити,V-,6
787,дѣяти#1,V-,6
788,помолити,V-,6
789,небо,Nb,12
790,горѣ,Df,1
791,въздъхнути,V-,1
792,сиции,A-,6
