ничьтоже|59084|Px|ničьtože|||||||||||||||||čьtože|2|||M||KB|S|Ps|
тъкъмо#1|59085|Df|tъkъmo|||||||only, solely|||||||||||0|||M|||S||
листвиѥ|59086|Nb|listvьje|||||||||||||||||nt_jo|2|||M|||S||
смокъвьница|59087|Nb|smokъvьnika||smokъvьnica|fig tree||||||||||||||fem_a_PV3|2|||M|||S||
из|59088|R-|jьz|||||||||||||1||||voice_assim_prep|0|||M|Eu||S|Ps|
имѣти|59090|V-|jьměti|||||||||||||||||have|1|||M|Eu|KB|S|Ps|
смокꙑ|59091|Nb|smoky|||||||fig||||||||||fem_uu|2|||M|||S||
отъвѣщати|59092|V-|otъvěћǢti||||||||otъvětjǢti|||||||||54|1|||M|||S|Ps|
вѣкъ|59093|Nb|věkъ|||||||||||||||||masc_o|2|||M|Eu||S|Ps|
никътоже|59094|Px|nikъtože|||||||||||||||||kъtože|2|||M|||S||
плодъ|59095|Nb|plodъ|||||||||||||||||masc_o|2|||M|Eu||S|Ps|
сънѣсти|59096|V-|sъněsti|||||||||||||||||pref_eat|1|||M||||Ps|
оученикъ|59097|Nb|učenikъ|||||||||||||||||masc_o|2|||M|Eu|KB|S||
дъска|59098|Nb|dъska|||||||||||||||||fem_a|2|||M|||S||
тръжьникъ|59099|Nb|tr̥žьnikъ|||||||money-changer, banker||Den Danske Ordbog seems to think that Slavic *tr̥gъ (>Danish torv) is from Mongolian 'torok'  which means apparently 'silk'; essja doesn't have a volume with 't-' words out yet, and Derksen ignores this root, so whether or not this is a loanword is unclear||||||||masc_o|2|||M|||||
сѣдалище|59100|Nb|sědališče|||||||seat, sitting place||||||||||nt_jo|2|||M|||S|Ps|
продаꙗти|59101|V-|prodajǢti|||||||||||||||||53|1|||M|||S||
начѧти|59102|V-|načęti|||||||||||||||načę|načьn|12|1|||M|||S|Ps|
изгонити|59103|V-|jьzgoniti|||||||drive out||||||||||40|1|||M|||S|Ps|
испроврѣщи|59104|V-|jьsproverћi|||||||flip over|jьsprovergti|||||||jьsprovŕ̥g|jьsproverg|14|1|||M|||S||
коуповати|59105|V-|kupovati||||13|||||See ESSJa 13 p.110-2; Germanic *kaupōn (ESSJa erroneously gives *kaupjan, but OE ċēapian, OHG koufōn unambiguously point to a weak class 2 verb in PGmc. *ōn-) was borrowed from Latin very earlier (before Anglo-Frisian velar palatalisation, cf Eng. cheap, Chippenham etc.). ||Gmc. *kaupōn- from Latin caupō||||||61|1|||M|||S||
ли|59119|Du|li||||||||||||||||||0|||M|||S|Ps|
нести|59122|V-|nesti|||||||||||||||nes|nes|11|1|||M|||S||
съсѫдъ|59123|Nb|sъsǫdъ|||||||household goods, crockery and furniture and that||||||||||masc_o|2|||M|||S|Ps|
сквозѣ|59124|R-|skvozě|||||||through|||||||||||0|||M|||S|Ps|
храмъ|59125|Nb|xormъ|||||||||||||||||masc_o|2|||M|Eu||S|Ps|
молитва|59126|Nb|modlitva|||||||||||||||||fem_a|2|||M|Eu|KB|S|Ps|
нарещи|59127|V-|nareћi||||||||narekti|||||||narьk|narek|11|1|||M|Eu||S|Ps|
ѩзꙑкъ|59128|Nb|językъ|||||||||||||||||masc_o|2|||M|Eu||S|Ps|
врьтъпъ|59130|Nb|vŕ̥tъpъ|||vŕ̥tьpъ||||garden, kitchen garden; cave; criminal's den/lair (in 'den of thieves')||Ru. вертеп, Old Rus'ian вьртьпъ, and Ukr. верте́п force us to recognise a variant *vŕ̥tьpъ, but we can't write the OCS spelling *врътъпъ off as just an incorrect second jer, because Psal. has an attestation врътопъ||||||||masc_o|2|||M|||S|Ps|
разбоиникъ|59131|Nb|orzbojьnikъ|||||||||||||||||masc_o|2|||M|||S||
искати|59132|V-|jьskati|||||||||||||||jьska|jьšč|iskati|1|||M|||S|Ps|
како|59133|Du|kako|||||||how (adv.)|||||||||||0|||M|||S|Ps|
погоубити|59134|V-|pogubiti|||||||||||||||||40|1|||M|||S|Ps|
кънижьникъ|59135|Nb|kъńižьnikъ||||7||||kъnjižьnikъ|||||||||masc_o|2|||M|||S|Ps|
архиереи|59136|Nb|arъx́ijerejь||||2||W|||||ἀρχιερεῖ||||||masc_jo_foreign|2|||M|||S||
народъ|59137|Nb|narodъ|||||||crowd of people||||||||||masc_o|2|||M||KB|S||
дивити|59138|V-|diviti|||||||plus ⱄⱔ = to marvel ||||||||||40|1|||M|||S|Ps|
оучениѥ|59139|Nb|učenьje|||||||||||||||||nt_jo|2|||M|||S|Ps|
боꙗти|59140|V-|bojǢti|||||||||||||||||31|1|||M|||S|Ps|
гробъ|59197|Nb|grobъ|||||||||||||||||masc_o|2|||M|||S|Ps|
чловѣкъ|59198|Nb|čьlověkъ|||čelověkъ||||||||||||||masc_o|2|||M|||S|Ps|
нечистъ|59199|A-|nečistъ|||||||||||||||||adj_hard|2|||M|||S||
