іереміемь|Ne-s---mi--i|ӣе̄ремие̄мь
прркмъ|Nb-s---mi--i|п҃рркмъ
глштемъ|V--sppami-si|г҃лщемъ
глас|Nb-s---mn--i|Глас
въ|R----------n|въ
рамѣ|Nb-d---na--i|рамѣ
слъішанъ|V--suppmn-si|слъишанъ
бъіс|V-3saia----i|бъіс
плачь|Nb-s---mn--i|Плачь
і|C----------n|ӣ
ръіданіе|Nb-s---na--i|ръидание̄
і|C----------n|ӣ
въпль|Nb-s---mn--i|въпль
многь|A--s---mapsi|мн̄огь
рахіль|Ne-s---fn--i|Рахиль
плачѫшті|V--sppafn-si|плачѫщи
сѧ|Pk3s---qa--i|сѧ
чѧдъ|Nb-p---ng--i|чѩдъ
своіхъ|Pt3p---ng--i|своӣхъ
і|C----------n|ӣ
не|Df---------n|не
