Кьнігъі|| 
р҃одства|| 
и҃ѹ҃хва|| · 
ѣ̄ко|| 
съ|| 
вамі|| 
бѣхъ|| · 
нъінѣ|| 
же|| 
ӣдѫ|| 
кь|| 
посълавъшоумоу|| 
мѧ҃|| · 
ӣ|| 
никт̄оже|| 
о̄тъ|| 
васъ|| 
не|| 
въпрашае̄тъ|| 
мене|| · 
камо|| 
ӣдеши|| · 
нъ|| 
ѣ̄ко|| 
сі|| 
г҃лахъ|| 
вамъ|| · 
скръбь|| 
ӣсплъні|| 
с҃рдца|| 
ваша|| · 
Нъ|| 
а̄ӡь|| 
ӣстінѫ|| 
г҃лѭ|| 
вамъ|| · 
О̄унѣе̄|| 
е̄стъ|| 
вамъ|| · 
да|| 
а̄ӡь|| 
ӣдѫ|| · 
А̄ште|| 
бо|| 
не|| 
ӣдѫ|| 
а̄ӡъ|| · 
параклитъ|| 
не|| 
прідетъ|| 
кь|| 
вамъ|| · 
А̄ште|| 
лі|| 
же|| 
ӣдѫ|| 
посьлѭ|| 
ӣ|| 
кь|| 
вамъ|| · 
ӣ|| 
прішедъ|| 
о̄нъ|| · 
о̄блічитъ|| 
въсего|| 
мира|| · 
О̄|| 
грѣсѣ|| · 
ӣ|| 
о̄|| 
правьдѣ|| 
ӣ|| 
о̄|| 
сѫдѣ|| · 
О̄|| 
грѣсѣ|| 
о̄убо|| · 
ѣ̄ко|| 
не|| 
вѣроуѭ̄тъ|| 
въ|| 
мѧ|| · 
О̄|| 
правъдѣ|| 
же|| · 
ѣ̄ко|| 
кь|| 
о̄ц҃ю|| 
грѧдѫ|| · 
ӣ|| 
к|| 
т̄омоу|| 
не|| 
видіте|| 
мене|| · 
о̄сѫдѣ|| 
же|| 
ѣ̄ко|| 
кьнѧѕь|| 
міра|| 
сего|| 
о̄сѫжден|| 
бъіс҃|| · 
Е̄ште|| 
много|| 
ӣмамъ|| 
г҃латі|| 
вамъ|| · 
нъ|| 
не|| 
можете|| 
носіті|| 
нъінѣ|| · 
Е̄гда|| 
же|| 
придетъ|| 
о̄нъ|| · 
д҃хъ|| 
ӣстінънъи|| · 
наставітъ|| 
въи|| · 
на|| 
вс̄ѫ|| 
ӣстинѫ|| ··̅ - 
коц҃|| · 
Не|| 
о̄|| 
себѣ|| 
г҃лати|| 
иматъ|| · 
нъ|| 
е̄лико|| ·:· 
ѣ̄же|| 
слъишитъ|| 
г҃лати|| 
ӣматъ|| · 
ӣ|| 
грѧдѫщаа̄|| 
въӡвѣститъ|| 
вамъ|| · 
О̄нъ|| 
мѧ|| 
прославитъ|| · 
ѣ̄ко|| 
о̄т|| 
мое̄го|| 
пріе̄мл҃етъ|| · 
ӣ|| 
въӡвѣститъ|| 
вамъ|| · 
Вьсѣ|| 
е̄лико|| 
ӣматъ|| 
᾽҃оць|| 
моѣ|| 
сѫтъ|| · 
сего|| 
раді|| 
рѣхъ|| 
вам|| · 
ѣ̄ко|| 
о̄тъ|| 
мое̄го|| 
пріе̄мл҃᾽етъ|| · 
ӣ|| 
въӡвѣстит|| 
вамъ|| · 
Въ|| 
малѣ|| 
ӣ|| 
кь|| 
томоу|| 
не|| 
видіте|| 
мене|| · 
Ӣ|| 
пакъи|| 
въ|| 
малѣ|| 
ӣ|| 
о̄уӡьріте|| 
мѧ|| · 
ѣ̄ко|| 
ӣдѫ|| 
кь|| 
о̄ц҃ю|| · 
Рѣшѧ|| 
же|| 
о̄учениці|| 
е̄го|| 
кь|| 
себѣ|| · 
Чьто|| 
се|| 
е̄стъ|| 
е̄же|| 
г҃лет|| 
намъ|| · 
Въ|| 
малѣ|| 
ӣ|| 
не|| 
видіте|| 
мене|| · 
ӣ|| 
пакъи|| 
въ|| 
малѣ|| 
ӣ|| 
о̄уӡьріте|| 
мѧ|| · 
ѣ̄ко|| 
ӣдѫ|| 
кь|| 
о̄ц҃ю|| · 
г҃лаа̄хѫ|| 
же|| 
чьто|| 
е̄стъ|| 
се|| · 
е̄же|| 
г҃летъ|| · 
Раӡоумѣвъ|| 
же|| 
ӣс҃ъ|| · 
ѣ̄ко|| 
хотѣа̄хѫ|| 
ӣ|| 
въпрашаті|| · 
рече|| 
ӣмъ|| · 
о̄|| 
семъ|| 
лі|| 
сътѧѕае̄те|| 
сѧ|| 
междю|| 
собоѭ̄|| · 
ѣ̄ко|| 
рѣх|| 
въ|| 
малѣ|| · 
ӣ|| 
не|| 
видіте|| 
мене|| · 
ӣ|| 
пакъі|| 
въ|| 
малѣ|| 
ӣ|| 
о̄уӡьріте|| 
мѧ|| · 
Амин҃|| 
῾Амин҃|| 
г҃лѭ|| 
вамъ|| · 
А̄ще|| 
чесо|| 
просите|| 
о̄у|| 
о̄ц҃а|| 
въ|| 
ӣмѧ|| 
мое̄|| 
дастъ|| 
вамъ|| · 
До|| 
селѣ|| 
не|| 
просисте|| 
ничесоже|| 
въ|| 
ӣмѧ|| 
мое̄|| · 
Просите|| 
ӣ|| 
пріӣмете|| · 
да|| 
радость|| 
ваша|| 
ї̄сплънена|| 
бѫдетъ|| · 
Си|| 
въ|| 
прітъчах|| 
г҃лахъ|| 
вамъ|| · 
прідетъ|| 
годіна|| · 
е̄гд̄а|| 
кь|| 
томоу|| 
въ|| 
прітъчахъ|| 
не|| 
г҃лѭ|| 
вамъ|| · 
нъ|| 
не|| 
о̄біноуѧ̄|| 
сѧ|| 
о̄|| 
о̄ц҃і|| 
въӡвѣштаѭ̄|| 
вам|| · 
Въ|| 
тъ|| 
день|| 
въ|| 
ӣмѧ|| 
мое̄|| 
въспросіте|| · 
᾽и|| 
не|| 
г҃лѭ|| 
вамъ|| · 
ѣ̄ко|| 
а̄ӡь|| 
о̄умолѭ|| 
о̄ц҃а|| 
о̄|| 
васъ|| · 
самъ|| 
бо|| 
о̄ц҃ь|| 
любітъ|| 
въи|| · 
Ѣ̄коже|| 
въі|| 
мѧ|| 
въӡлюбисте|| · 
ӣ|| 
вѣ̄ровасте|| · 
ѣ̄ко|| 
᾽отъ|| 
б҃а|| 
ӣӡідъ|| · 
᾽и|| 
ӣӡидъ|| 
от҃|| 
б҃а|| 
ӣ|| 
прідъ|| 
въ|| 
весъ|| 
міръ|| · 
Пакъі|| 
о̄ставлѣѭ̄|| 
весь|| 
міръ|| · 
ӣ|| 
ӣдѫ|| 
къ|| 
о̄ц҃ю|| · 
Г҃лашѧ|| 
е̄моу|| 
о̄ученіці|| 
е̄го|| · 
Се|| 
нъинѣ|| 
не|| 
о̄біноу᾽ѧ|| 
сѧ|| 
г҃леші|| · 
а̄|| 
прітъчѧ|| 
никое̄ѧ̄же|| 
не|| 
г҃леші|| · 
нъинѣ|| 
вѣмъ|| 
ѣ̄ко|| 
вѣси|| 
въсѣ|| · 
ӣ|| 
не|| 
трѣбоуе̄ши|| 
да|| 
кто|| 
тѧ|| 
въпрашае̄тъ|| · 
о̄|| 
семъ|| 
вѣроуе̄м|| · 
ѣ̄ко|| 
о̄тъ|| 
б҃а|| 
е̄сі|| 
ӣшелъ|| · 
Ѡт̄̄ъвѣшта|| 
ӣмъ|| 
ӣс҃ъ|| · 
Нъінѣ|| 
лі|| 
вѣроуе̄те|| · 
Се|| 
грѧдетъ|| 
годіна|| 
ӣ|| 
нъинѣ|| 
пріде|| · 
Да|| 
раӡідетъ|| 
сѧ|| 
къждо|| 
въ|| 
сво᾽ѣ|| 
сі|| · 
ӣ|| 
мѧ|| 
е̄диного|| 
о̄ставіте|| · 
ӣ|| 
нѣсмъ̄|| 
е̄дінъ|| · 
ѣ̄ко|| 
о̄ц҃ъ|| 
съ|| 
мн̄оѭ̄|| 
е̄стъ|| · 
сі|| 
г҃лахъ|| 
вамъ|| 
да|| 
въ|| 
мьнѣ|| 
міръ|| 
ӣмате|| · 
Въ|| 
въсемъ|| 
мірѣ|| 
скръбъни|| 
бѫдете|| · 
нъ|| 
дръӡаӣте|| · 
а̄ӡь|| 
бо|| 
побѣдіхъ|| 
въсего|| 
мира|| · 
сі|| 
г҃ла|| 
ӣс҃ъ|| · 
Ӣ|| 
въӡведъ|| 
о̄чі|| 
своӣ|| 
на|| 
н҃бо|| 
᾽и|| 
рече|| · 
῾Ѡ҃̄̄че|| 
Пріде|| 
годіна|| 
прославі|| 
с҃на|| 
св̄ое̄го|| · 
да|| 
ӣ|| 
с҃нъ|| 
твоӣ|| 
прославітъ|| 
тѧ|| · 
Ѣ̄коже|| 
далъ|| 
емоу|| 
е̄сі|| 
власть|| 
вьсѣкоѧ̄|| 
плъті|| · 
да|| 
вьсе|| 
е̄же|| 
е̄моу|| 
е̄сі|| 
далъ|| · 
дастъ|| 
ӣмъ|| 
жівотъ|| 
вѣчьнъіӣ|| · 
Се|| 
же|| 
е̄стъ|| 
жівотъ|| 
вѣчьнъіӣ|| · 
да|| 
ӡнаѭ̄тъ|| 
тѧ|| 
е̄діного|| 
ӣстінн̄аа̄го|| 
б҃а|| · 
ӣ|| 
е̄гоже|| 
посъла|| 
ӣс҃ха|| · 
А̄ӡъ|| 
прославихъ|| 
тѧ|| 
на|| 
ӡемл҃и|| · 
дѣло|| 
съвръшіхъ|| · 
Е̄же|| 
далъ|| 
е̄сі|| 
мьнѣ|| 
да|| 
сътворѭ|| · 
И|| 
нъінѣ|| 
прославі|| 
мѧ|| 
о̄ч҃е|| 
о̄у|| 
тебе|| 
самого|| 
славоѭ̄|| · 
ѭ̄же|| 
ӣмѣхъ|| 
прѣжде|| · 
даже|| 
не|| 
бъіс҃|| 
весь|| 
міръ|| 
о̄у|| 
тебе|| · 
῾Ѣвіхъ|| 
ӣмѧ|| 
твое|| 
ч҃лкомъ|| · 
ѧ̄же|| 
далъ|| 
е̄си|| 
мьнѣ|| 
о̄тъ|| 
въсего|| 
мира|| · 
твоӣ|| 
бѣшѧ|| · 
ӣ|| 
мьнѣ|| 
ѧ̄|| 
дал|| 
е̄сі|| · 
ӣ|| 
слово|| 
твое̄|| 
съхранішѧ|| · 
нъінѣ|| 
раӡоумѣшѧ|| · 
ѣ̄ко|| 
вьсѣ|| 
е̄ліко|| 
даль|| 
е̄сі|| 
мнѣ̄|| 
ѡ̄̄тъ|| 
тебе|| 
сѫтъ|| · 
г҃лъи|| 
ѧ̄же|| 
дал|| 
е̄сі|| 
мьнѣ|| 
дахъ|| 
ӣмъ|| · 
ӣ|| 
ті|| 
пріѧ̄сѧ|| 
ѧ̄|| · 
ӣ|| 
раӡоумѣшѧ|| 
въ|| 
ӣстінѫ|| · 
ѣ̄ко|| 
от҃|| 
тебе|| 
ӣӡидъ|| · 
ӣ|| 
вѣровашѧ|| 
ѣ̄ко|| 
тъі|| 
мѧ|| 
посъла|| 
А̄ӡь|| 
о̄|| 
сіхъ|| 
молѭ|| · 
Не|| 
о̄|| 
вьсемь|| 
мирѣ|| 
молѭ|| · 
нъ|| 
ѧ̄же|| 
далъ|| 
е̄си|| 
мънѣ|| · 
ѣ̄ко|| 
твоӣ|| 
сѫтъ|| · 
ӣ|| 
моѣ|| 
въсѣ|| 
твоѣ̄|| 
сѫт|| · 
ӣ|| 
твоѣ̄|| 
моѣ̄|| · 
ӣ|| 
прославіхъ|| 
сѧ|| 
въ|| 
нихъ|| · 
ӣ|| 
кь|| 
томоу|| 
нѣсмъ|| 
въ|| 
вьсемъ|| 
мирѣ|| · 
ӣ|| 
сіӣ|| 
въ|| 
въсемъ|| 
мірѣ|| 
сѫтъ|| · 
ӣ|| 
а̄ӡь|| 
кь|| 
т̀е҃бѣ|| 
грѧдѫ|| · 
О̄ч҃е|| 
с҃тъи|| 
съблюді|| 
ѧ̄|| 
въ|| 
ӣмѧ|| 
твое̄|| · 
Ѧ̄же|| 
дал|| 
е̄сі|| 
мн̄ѣ|| · 
да|| 
бѫдѫтъ|| 
е̄діно|| · 
ѣ̄коже|| 
ӣ|| 
мъі|| · 
Е̄гда|| 
бѣхъ|| 
сь|| 
ними|| 
въ|| 
вьсем|| 
мірѣ|| · 
А̄ӡь|| 
сьблюдаа̄хъ|| 
ѧ̄|| 
въ|| 
ӣмѧ|| 
твое̄|| · 
ѧ̄же|| 
далъ|| 
е̄си|| 
сі|| 
мьнѣ|| · 
съхранихъ|| 
ѧ̄|| · 
ӣ|| 
никт̄оже|| 
от҃|| 
нихъ|| 
не|| 
погъибе|| · 
тъкьмо|| 
с҃нъ|| 
погъибѣльнъи|| · 
да|| 
събѫдѫтъ|| 
сѧ|| 
кьнигъи|| · 
Нъинѣ|| 
же|| 
кь|| 
тебѣ|| 
грѧдѫ|| · 
Ӣ|| 
си|| 
г҃лѭ|| 
въ|| 
вьсемь|| 
мирѣ|| · 
да|| 
ӣмѫтъ|| 
радость|| 
моѭ̄|| 
ӣсплъненѫ|| 
въ|| 
себѣ|| · 
коц҃|| ··̅ - 
А̄ӡь|| 
дахъ|| 
ӣмъ|| 
слово|| 
твое̄|| · 
ӣ|| 
весь|| 
миръ|| 
въӡненавідѣ|| 
᾽ѧ|| · 
ѣ̄ко|| 
не|| 
сѫтъ|| 
от҃|| 
вьсего|| 
мира|| · 
ѣ̄ко|| 
ӣ|| 
а̄ӡь|| 
от҃|| 
вьсего|| 
мира|| 
нѣс᾽мь|| · 
Не|| 
молѭ|| 
да|| 
вьӡьмеши|| 
ѧ̄|| 
от҃|| 
вьсего|| 
міра|| · 
нъ|| 
да|| 
съблюдеші|| 
ѧ̄|| 
от҃|| 
непріѣ̄ӡни|| · 
Ѡ̄̀тъ|| 
въсего|| 
мира|| 
не|| 
сѫтъ|| · 
ѣ̄ко|| 
а̄ӡь|| 
от҃|| 
вьсего|| 
мира|| 
нѣсм̄ъ|| · 
с҃ті|| 
ѧ̄|| 
вь|| 
ӣстінѫ|| · 
слово|| 
твое̄|| 
ӣстина|| 
е̄стъ|| · 
Ѣкоже|| 
тъі|| 
мѧ|| 
посьла|| 
въ|| 
весь|| 
миръ|| · 
᾽и|| 
а̄ӡь|| 
посълахъ|| 
ѧ̄|| 
въ|| 
весь|| 
миръ|| · 
ӣ|| 
ӡане|| 
а̄ӡь|| 
с҃вща᾽ѭ|| 
сѧ|| 
самъ|| · 
да|| 
бѫдѫтъ|| 
ӣ|| 
ти|| 
с҃вщени|| 
вь|| 
᾽ис{с}тинѫ|| · 
Не|| 
о̄|| 
сіхъ|| 
молѭ|| 
тькьмо|| · 
Нъ|| 
ӣ|| 
о̄|| 
вѣроуѭ̄щиӣхъ|| 
словесемъ|| 
ӣхъ|| 
въ|| 
мѧ|| · 
да|| 
въсі|| 
е̄діно|| 
сѫтъ|| · 
Ѣ̄коже|| 
ӣ|| 
тъи|| 
о̄ч҃е|| 
вь|| 
мьнѣ|| · 
ї|| 
а̄ӡь|| 
вь|| 
тебѣ|| · 
да|| 
ӣ|| 
ті|| 
въ|| 
насъ|| 
е̄діно|| 
бѫдѫтъ|| · 
да|| 
ӣ|| 
весь|| 
міръ|| 
вѣрѫ|| 
ӣметъ|| · 
ѣ̄ко|| 
тъі|| 
мѧ|| 
посъла|| · 
ӣ|| 
а̄ӡь|| 
славѫ|| 
᾽ѭже|| 
далъ|| 
е̄сі|| 
мьнѣ|| · 
дахъ|| 
ӣмъ|| · 
да|| 
бѫдѫтъ|| 
е̄діно|| · 
ѣ̄коже|| 
ӣ|| 
мъи|| 
е̄діно|| · 
ӣ|| 
а̄ӡь|| 
вь|| 
нихъ|| 
ӣ|| 
ті|| 
въ|| 
мьнѣ|| · 
да|| 
бѫдѫтъ|| 
съвръшени|| 
въ|| 
е̄діно|| · 
ӣ|| 
да|| 
раӡоумѣе̄т|| 
весь|| 
міръ|| · 
ѣ̄ко|| 
тъі|| 
мѧ|| 
посьла|| · 
ӣ|| 
въӡлюбилъ|| 
ѧ̄|| 
е̄сі|| · 
ѣ̄коже|| 
ӣ|| 
мѧ|| 
въӡлюби|| 
о̄ч҃е|| · 
Ѧ̄же|| 
далъ|| 
е̄сі|| 
мьнѣ|| · 
Хощѫ|| · 
да|| 
ӣдеже|| 
е̄смъ|| 
а̄ӡъ|| · 
ӣ|| 
ті|| 
бѫдѫтъ|| 
съ|| 
мн̄оѭ̄|| · 
да|| 
відѧтъ|| 
славѫ|| 
моѭ̄|| · 
ѭ̄же|| 
далъ|| 
е̄си|| 
мьнѣ|| · 
ѣко|| 
въӡлюбилъ|| 
мѧ|| 
е̄сі|| · 
Прѣ{прѣ}жде|| 
съложениѣ|| 
въсего|| 
міра|| · 
῾Ѡ̄ч҃е|| 
праведънъі|| · 
ӣ|| 
весь|| 
міръ|| 
тебе|| 
не|| 
поӡна|| · 
А̄ӡъ|| 
же|| 
тѧ|| 
поӡнахъ|| · 
ӣ|| 
сіӣ|| 
поӡнашѧ|| · 
Ѣ̄ко|| 
тъи|| 
мѧ|| 
посьла|| · 
ӣ|| 
съкаӡах|| 
ӣмъ|| 
ӣмѧ|| 
твое̄|| · 
ӣ|| 
съкажѭ|| · 
да|| 
любъі|| 
е̄ѭ̄же|| 
мѧ|| 
е̄сі|| 
въӡлюбілъ|| 
въ|| 
них|| 
бѫдетъ|| · 
ӣ|| 
а̄ӡ|| 
вь|| 
нихъ|| · 
коц҃|| · 
Сі|| 
рекъ|| 
ӣс҃ъ|| 
ӣӡиде|| 
съ|| 
о̄ученикъи|| 
своӣми|| · 
на|| 
о̄нъ|| 
полъ|| 
потока|| 
кедръска̄|| · 
ӣдеже|| 
бѣ|| 
врътъ|| · 
Въ|| 
ньже|| 
въниде|| 
самъ|| · 
ӣ|| 
о̄ученіци|| 
᾽его|| ·· · - 
Вѣдѣа̄ше|| 
же|| 
ӣю̄да|| 
мѣсто|| · 
Ѣ̄ко|| 
множіцеѭ̆|| 
събираа̄ше|| 
сѧ|| 
ӣс҃ъ|| · 
съ|| 
о̄ученикъи|| 
своӣми|| · 
Ӣю̄да|| 
же|| 
прие̄мъ|| 
сп̄ирѫ|| · 
Ѡт̄̄ъ|| 
а̄рх̄ие̄реӣ|| 
ӣ|| 
фарисеӣ|| 
слоугъі|| 
ӣ|| 
пріде|| 
тамо|| · 
съ|| 
свѣтильнікъі|| 
ӣ|| 
свѣштами|| · 
ӣ|| 
о̄рѫжіӣ|| · 
Ӣс҃ъ|| 
же|| 
вѣдъі|| 
въсѣ|| 
грѧ̄дѫщаа̄|| 
на|| 
нь|| · 
Ӣшедъ|| 
рече|| 
ӣмъ|| · 
кого|| 
ӣщете|| · 
Ѡт̄̄вѣщашѧ|| 
е̄моу|| · 
ӣс҃а|| 
наӡареа̄|| · 
г҃ла|| 
ӣмъ|| 
᾽҃исъ|| · 
а̄ӡь|| 
е̄см̄ъ|| · 
стоѣ̄ше|| 
же|| 
ӣюда|| 
сь|| 
нимі|| · 
і̄же|| 
ӣ|| 
прѣдаѣ̄аше|| · 
ѣ̄ко|| 
рече|| 
ӣмъ|| 
а̄ӡь|| 
е̄с᾽мъ|| · 
ӣдѫ|| 
въсп̄ѧть|| · 
ӣ|| 
падѫ|| 
на|| 
ӡеми|| · 
Пакъі|| 
же|| 
ѧ̄|| 
въпросі|| 
᾽҃исъ|| · 
кого|| 
ӣштете|| · 
О̄ни|| 
же|| 
рѣшѧ|| 
ӣс҃а|| 
наӡареа̄|| · 
Ѡт̄̄вѣшта|| 
ӣмъ|| 
ӣс҃ъ|| · 
Рѣхъ|| 
вамъ|| 
ѣ̄ко|| 
а̄ӡь|| 
е̄см̄ъ|| · 
а̄ще|| 
о̄убо|| 
мене|| 
ӣщете|| · 
не|| 
дѣӣте|| 
сіхъ|| 
ӣти|| · 
да|| 
събѫдетъ|| 
сѧ|| 
слово|| · 
е̄же|| 
рече|| · 
ѣ̄ко|| 
ѧ̄же|| 
далъ|| 
е̄сі|| 
мьнѣ|| 
не|| 
погоубихъ|| 
ни|| 
едіного|| 
же|| 
о̄тъ|| 
нихъ|| · 
Сімонъ|| 
же|| 
петръ|| · 
᾽имъи|| 
ножь|| 
᾽иӡ᾽влѣче|| · 
ӣ|| 
о̄ударь|| 
раба|| 
а̄рхіе̄рео̄ва|| 
о̄урѣӡа|| 
е̄моу|| 
о̆ухо|| 
десное̄|| · 
Бѣ|| 
же|| 
ӣмѧ|| 
рабоу|| 
ма᾽лх̄ъ|| · 
Рече|| 
же|| 
ӣс҃ъ|| 
петрові|| · 
вьньӡи|| 
ножь|| 
въ|| 
ножьніцѫ|| · 
Чашѫ|| 
᾽ѭже|| 
дастъ|| 
мьнѣ|| 
о̄ц҃ъ|| · 
не|| 
ӣмамъ|| 
ли|| 
піти|| 
᾽еѧ̄|| · 
спіра|| 
же|| 
ӣ|| 
тъисѫщънік|| · 
ӣ|| 
слоугъи|| 
ӣ᾽юдейскъі|| · 
ѧ̄сѧ|| 
ӣс҃а|| · 
ӣ|| 
съвѧӡашѧ|| 
ӣ|| · 
Ӣ|| 
вѣсѧ|| 
ӣ|| 
кь|| 
а̄нн̄ѣ|| 
пръвѣе̄|| · 
бѣ|| 
бо|| 
тесть|| 
каӣа̄фѣ|| · 
і̄же|| 
бѣ|| 
а̄рх̄іе̄реӣ|| 
лѣтоу|| 
томоу|| · 
бѣ|| 
же|| 
каӣа̄фа|| · 
давъиӣ|| 
съвѣтъ|| 
ӣю̄део̄мъ|| · 
ѣ̄ко|| 
о̄унѣе̄|| 
е̄стъ|| · 
е̄диномоу|| 
ч҃лкоу|| 
о̄умьрѣти|| 
ӡа|| 
люді|| · 
По|| 
᾽҃ӣсѣ|| 
же|| 
ӣдѣа̄ше|| 
симонъ|| 
петръ|| · 
ӣ|| 
дроугъі|| 
о̄ученикь|| · 
о̄ученік|| 
же|| 
тъ|| 
бѣ|| 
ӡнаемь|| 
᾽арх̄іе̄реоу|| · 
Въниде|| 
же|| 
съ|| 
ӣс҃мъ|| 
въ|| 
дворъ|| 
а̄рх̄ие̄рео̄въ|| · 
Петръ|| 
же|| 
стоѣ̄а̄ше|| 
прі|| 
дв̄ърехъ|| 
вънѣ|| · 
ӣӡиде|| 
же|| 
о̄ученікь|| 
ть|| · 
і̄же|| 
бѣ|| 
ӡнае̄мъ|| 
а̄рх̄и᾽ерео̄у|| · 
Ӣ|| 
рече|| 
две҃рьници|| · 
ӣ|| 
въведе|| 
петра|| · 
г҃ла|| 
же|| 
раба|| 
петрові|| · 
Е̄да|| 
ӣ|| 
тъі|| 
о̄тъ|| 
о̄ученікь|| 
е̄сі|| 
ч҃лка|| 
сего|| · 
г҃ла|| 
о̄нъ|| 
нѣсмъ|| · 
стоѣ̀хѫ|| 
же|| 
рабі|| 
ӣ|| 
слоугъи|| 
о̄гнь|| 
сътворьше|| · 
ѣ̄ко|| 
ӡіма|| 
бѣ|| · 
ӣ|| 
грѣа̄хѫ|| 
сѧ|| · 
бѣ|| 
же|| 
съ|| 
німи|| 
петръ|| 
стоѧ̄|| 
ӣ|| 
грѣѧ̄|| 
сѧ|| · 
А̄рхие̄реӣ|| 
же|| 
въпросі|| 
ӣс҃а|| · 
о̄|| 
о̄ученицѣхъ|| 
ӣ|| 
о̄|| 
о̄ученіӣ|| 
е̄го|| · 
Ѡт̄̄ъвѣща|| 
е̄моу|| 
ӣс҃ъ|| 
А̄ӡь|| 
не|| 
о̄биноуѧ̄|| 
сѧ|| 
г҃лахъ|| 
въ|| 
семоу|| 
мироу|| · 
А̄ӡь|| 
въсегд̄а|| 
о̄учихъ|| 
На|| 
сьньмиштихъ|| · 
ӣ|| 
въ|| 
ц҃рквахъ|| · 
ӣдеже|| 
въси|| 
ӣю̄деӣ|| 
сънемл҃᾽ѭтъ|| 
сѧ|| · 
ӣ|| 
таӣне|| 
г҃лахъ|| 
нічесоже|| · 
чьто|| 
мѧ|| 
въпрашае̄ши|| · 
Въпросі|| 
слъішавъшѧѧ̄|| · 
чьто|| 
г҃лах|| 
ӣмъ|| · 
Се|| 
сіӣ|| 
вѣдѧтъ|| · 
ѣ̄же|| 
рѣхъ|| 
а̄ӡь|| · 
Си|| 
рекьшю|| 
е̄моу|| · 
῾Едінъ|| 
о̄тъ|| 
прѣстоѧ̄штіӣхь|| 
слоугъ|| · 
О̄удари|| 
ӡа|| 
ланитѫ|| 
ӣс҃са|| · 
рекь|| · 
Тако|| 
лі|| 
ѡ̄̄тъвѣштавае̄ши|| 
а̄рх̄іе̄рео̄ви|| · 
Ѡт҃вѣшта|| 
е̄моу|| 
ӣс҃ъ|| · 
А̄ште|| 
ӡьлѣ|| 
г҃лахъ|| 
сьвѣдѣтельствоуӣ|| 
о̄|| 
ӡьлѣ|| · 
А̄ште|| 
ли|| 
добрѣ|| · 
чьто|| 
мѧ|| 
бие̄ші|| · 
Посьлаже|| 
ӣ|| 
а̄нн̄а|| 
сьвѧӡана|| 
кь|| 
каӣа̄фѣ|| 
а̄р᾽хіе̄рео̄у|| · 
Бѣ|| 
же|| 
симо҃нъ|| 
петръ|| · 
стоѧ̄|| 
ӣ|| 
грѣѧ̄|| 
сѧ|| · 
рѣшѧ|| 
же|| 
е̄моу|| · 
῾Еда|| 
ӣ|| 
тъи|| 
ѡт҃|| 
оученикь|| 
е̄го|| 
е̄си|| · 
Ѡт̄̄ъвръже|| 
сѧ|| 
᾽онъ|| 
ӣ|| 
рече|| 
нѣсм̄ъ|| · 
Г҃ла|| 
е̄динъ|| 
от҃|| 
рабь|| 
᾽арх̄ие̄рео̄въ|| · 
ѫ̄жика|| 
съі|| · 
Е̄моуже|| 
о̄урѣӡа|| 
петръ|| 
о̄ухо|| · 
Не|| 
а̄ӡь|| 
лі|| 
тѧ|| 
відѣхъ|| 
въ|| 
врътѣ|| 
съ|| 
німъ|| · 
Пакъі|| 
же|| 
петръ|| 
ѡ̄̄тв̄ръже|| 
сѧ|| · 
ӣ|| 
а̄біе̄|| 
коуръ|| 
въӡ᾽гласи|| · 
Вѣсѧ|| 
же|| 
ӣс҃а|| 
ѡт҃|| 
каӣа̄фа|| 
въ|| 
преторь|| · 
Бѣ|| 
же|| 
ӡа|| 
оутра|| · 
Ӣ|| 
ті|| 
не|| 
вънидѫ|| 
въ|| 
преторъ|| 
да|| 
не|| 
о̄ск᾽врънѧтъ|| 
сѧ|| · 
нъ|| 
да|| 
ѣ̄дѧтъ|| 
пасхѫ|| ·· · - 
Ӣӡіде|| 
же|| 
пілатъ|| 
кь|| 
нимъ|| 
вонъ|| · 
ӣ|| 
реч̄е|| · 
кѫѭ̄|| 
рѣчь|| 
пріносіте|| 
на|| 
ч҃лка|| 
сего|| · 
ѡт҃вѣшташѧ|| 
же|| 
ӣ|| 
рѣшѧ|| 
е̄моу|| · 
᾽аште|| 
не|| 
би|| 
сь|| 
бъилъ|| 
ӡьлодѣӣ|| · 
не|| 
бимъ|| 
прѣдали|| 
е̄го|| 
тебѣ|| · 
рече|| 
же|| 
ӣмъ|| 
пілатъ|| · 
поӣмѣте|| 
ӣ|| 
въи|| · 
᾽и|| 
по|| 
ӡаконоу|| 
вашемоу|| 
сѫдіте|| 
е̄моу|| · 
рѣшѧ|| 
же|| 
е̄моу|| 
ӣ᾽юдеӣ|| · 
намъ|| 
не|| 
достоӣтъ|| 
о̄убіті|| 
никогоже|| · 
да|| 
слово|| 
ӣ|| 
с҃во|| 
сьбѫдетъ|| 
сѧ|| · 
е̄же|| 
рече|| 
клепл̄ѧ|| · 
кое̄᾽ѭ|| 
съмрътиѭ̄|| 
хотѣа̄ше|| 
о̄умьрѣті|| · 
Въниде|| 
же|| 
пакъи|| 
пилатъ|| 
вь|| 
преторь|| · 
ӣ|| 
гласи|| 
ӣс҃а|| 
ӣ|| 
рече|| 
е̄моу|| · 
тъі|| 
ли|| 
е̄сі|| 
ц҃ръ|| 
ӣ᾽юдеӣс̄къ|| · 
̀Ѡ̄̄тъвѣща|| 
е̄моу|| 
ӣс҃ъ|| · 
О̄|| 
себѣ|| 
ли|| 
се|| 
тъі|| 
г҃҃леші|| · 
ӣли|| 
ӣни|| 
тебѣ|| 
