ꙇ|і|242280|Codex Zographensis|John 3
еже|еже|242281|Codex Zographensis|John 3
дастъ|дастъ|242282|Codex Zographensis|John 3
въ|въ|242283|Codex Zographensis|John 3
рѫцѣ|рѫцѣ|242284|Codex Zographensis|John 3
его|его|242285|Codex Zographensis|John 3
вѣроуѩі|вѣроуѧі|242286|Codex Zographensis|John 3
въ|въ|242287|Codex Zographensis|John 3
с҃на|сна|242288|Codex Zographensis|John 3
ꙇматъ|іматъ|242289|Codex Zographensis|John 3
животъ|жівотъ|242290|Codex Zographensis|John 3
вѣчьнꙑ|вѣчьнъі|242291|Codex Zographensis|John 3
а|а|242292|Codex Zographensis|John 3
ꙇже|іже|242293|Codex Zographensis|John 3
не|не|242294|Codex Zographensis|John 3
вѣроуетъ|вѣроуетъ|242295|Codex Zographensis|John 3
въ|въ|242296|Codex Zographensis|John 3
с҃на|сна|242297|Codex Zographensis|John 3
не|не|242298|Codex Zographensis|John 3
оузьритъ|оузьрітъ|242299|Codex Zographensis|John 3
живота|жівота|242300|Codex Zographensis|John 3
нъ|нъ|242301|Codex Zographensis|John 3
гнѣвъ|гнѣвъ|242302|Codex Zographensis|John 3
б҃жі|бжі|242303|Codex Zographensis|John 3
прѣбꙑваетъ|прѣбъіваетъ|242304|Codex Zographensis|John 3
на|на|242305|Codex Zographensis|John 3
н҄емь|немь|242306|Codex Zographensis|John 3
егда|егда|242307|Codex Zographensis|John 4
же|же|242308|Codex Zographensis|John 4
оуслꙑша|оуслъіша|242309|Codex Zographensis|John 4
г҃ь|гь|242310|Codex Zographensis|John 4
ко|ко|242311|Codex Zographensis|John 4
оуслꙑшашѧ|оуслъішашѧ|242312|Codex Zographensis|John 4
фарисеі|фарісеі|242313|Codex Zographensis|John 4
ѣко|ѣко|242314|Codex Zographensis|John 4
и҃с|іс|242315|Codex Zographensis|John 4
множаꙇшѧ|множаішѧ|242316|Codex Zographensis|John 4
оученикꙑ|оученікъі|242317|Codex Zographensis|John 4
творитъ|творітъ|242318|Codex Zographensis|John 4
ꙇ|і|242319|Codex Zographensis|John 4
крьштаетъ|крьштаетъ|242320|Codex Zographensis|John 4
неже|неже|242321|Codex Zographensis|John 4
ꙇоанъ|іоанъ|242322|Codex Zographensis|John 4
ꙇ҃с|іс|242323|Codex Zographensis|John 4
самъ|самъ|242324|Codex Zographensis|John 4
не|не|242325|Codex Zographensis|John 4
крьштааше|крьштааше|242326|Codex Zographensis|John 4
нъ|нъ|242327|Codex Zographensis|John 4
оученици|оученіці|242328|Codex Zographensis|John 4
его|его|242329|Codex Zographensis|John 4
остави|оставі|242330|Codex Zographensis|John 4
ꙇюдеѫ|іюдеѫ|242331|Codex Zographensis|John 4
ꙇ|і|242332|Codex Zographensis|John 4
иде|іде|242333|Codex Zographensis|John 4
пакꙑ|пакъі|242334|Codex Zographensis|John 4
въ|въ|242335|Codex Zographensis|John 4
галилеѭ|галілеѭ|242336|Codex Zographensis|John 4
достоѣше|достоѣше|242337|Codex Zographensis|John 4
емоу|емоу|242338|Codex Zographensis|John 4
проꙇти|проіті|242339|Codex Zographensis|John 4
сквозѣ|сквозѣ|242340|Codex Zographensis|John 4
самариѭ|самаріѭ|242341|Codex Zographensis|John 4
Приде|пріде|242342|Codex Zographensis|John 4
же|же|242343|Codex Zographensis|John 4
въ|въ|242344|Codex Zographensis|John 4
градъ|градъ|242345|Codex Zographensis|John 4
самарьскъ|самарьскъ|242346|Codex Zographensis|John 4
нарицаемъі|наріцаемъі|242347|Codex Zographensis|John 4
соухарь|соухарь|242348|Codex Zographensis|John 4
ꙇскрь|іскрь|242349|Codex Zographensis|John 4
вьси|вьсі|242350|Codex Zographensis|John 4
ѭже|ѭже|242351|Codex Zographensis|John 4
дастъ|дастъ|242352|Codex Zographensis|John 4
ꙇѣковъ|іѣковъ|242353|Codex Zographensis|John 4
ꙇосифоу|іосіфоу|242354|Codex Zographensis|John 4
с҃ноу|сноу|242355|Codex Zographensis|John 4
своемоу|своемоу|242356|Codex Zographensis|John 4
бѣ|бѣ|242357|Codex Zographensis|John 4
же|же|242358|Codex Zographensis|John 4
тоу|тоу|242359|Codex Zographensis|John 4
кладѧзь|кладѧзь|242360|Codex Zographensis|John 4
ꙇѣковл҄ь|іѣковль|242361|Codex Zographensis|John 4
ꙇ҃с|іс|242362|Codex Zographensis|John 4
же|же|242363|Codex Zographensis|John 4
троуждь|троуждь|242364|Codex Zographensis|John 4
сѧ|сѧ|242365|Codex Zographensis|John 4
отъ|отъ|242366|Codex Zographensis|John 4
пѫти|пѫті|242367|Codex Zographensis|John 4
сѣдѣаше|сѣдѣаше|242368|Codex Zographensis|John 4
тако|тако|242369|Codex Zographensis|John 4
на|на|242370|Codex Zographensis|John 4
кладѧзи|кладѧзі|242371|Codex Zographensis|John 4
часъ|часъ|242372|Codex Zographensis|John 4
бѣ|бѣ|242373|Codex Zographensis|John 4
ѣко|ѣко|242374|Codex Zographensis|John 4
шестꙑ|шестъі|242375|Codex Zographensis|John 4
приде|пріде|242376|Codex Zographensis|John 4
жена|жена|242377|Codex Zographensis|John 4
отъ|отъ|242378|Codex Zographensis|John 4
самариѩ|самаріѧ|242379|Codex Zographensis|John 4
почрѣтъ|почрѣтъ|242380|Codex Zographensis|John 4
водꙑ|водъі|242381|Codex Zographensis|John 4
г҃ла|гла|242382|Codex Zographensis|John 4
еи|еі|242383|Codex Zographensis|John 4
ꙇ҃с|іс|242384|Codex Zographensis|John 4
даждь|даждь|242385|Codex Zographensis|John 4
ми|мі|242386|Codex Zographensis|John 4
