id,lemma,pos,count
1070,близъ,R-,30
1071,призьрѣти,V-,15
1072,съзьдание,Nb,13
1073,наставити,V-,7
1074,никыиже,Px,12
1075,добродѣтель,Nb,36
1076,нужа,Nb,41
1077,прѣплыти,V-,1
1078,зъло,Nb,144
1079,отмо,F-,1
1080,перводигерь,F-,5
1081,каримъ,F-,2
1082,ахалимъ,F-,1
1083,дулимо,F-,1
1084,дале,Df,6
1085,упъвати,V-,32
1086,съпасти#1,V-,66
1087,волосыни,Ne,1
1088,кола,Ne,1
1089,зоря,Nb,9
1090,вънити,V-,170
1091,соль,Ne,1
1092,выѣхати,V-,16
1093,теферичь,Nb,1
1094,возырь,Nb,17
1095,пищаль,Nb,24
1096,прапорьць,Nb,1
1097,повязати,V-,5
1098,крило,Nb,10
1099,привязати,V-,8
1100,желѣзьныи,A-,29
1101,гыря,Nb,1
1102,ухо,Nb,23
1103,крюкъ,Nb,1
1104,правити,V-,20
